"pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value"
"co","0-ppm","part_1",2,"1-10",-0.0279839823364111,0.0282128659028142
"co","0-ppm","part_1",2,"11-20",-0.0329331192292252,0.0254746738741485
"co","0-ppm","part_1",2,"21-30",-0.0279868325973505,0.028584297081965
"co","0-ppm","part_2",3,"1-10",-0.0224892011240466,0.0283144126155705
"co","0-ppm","part_2",3,"11-20",-0.0230589321557607,0.0292124621461297
"co","0-ppm","part_2",3,"21-30",-0.0176660778803693,0.0288135438791934
"co","0-ppm","part_3",4,"1-10",-0.0171994379767162,0.0281176963647701
"co","0-ppm","part_3",4,"11-20",-0.0288000401445203,0.0286884290983729
"co","0-ppm","part_3",4,"21-30",-0.0289212765957447,0.0285412624929917
"co","0-ppm","ref",1,"1-10",-0.0216925331192292,0.0274757231826971
"co","0-ppm","ref",1,"11-20",-0.0168889602569249,0.0273778484989442
"co","0-ppm","ref",1,"21-30",-0.0166355279004416,0.0272349698632313
"co","2-ppm","part_1",2,"1-10",2.01215082742317,0.0035971898480072
"co","2-ppm","part_1",2,"11-20",2.01723647109392,0.00319628680678463
"co","2-ppm","part_1",2,"21-30",2.01050724263916,0.0037191887614352
"co","2-ppm","part_2",3,"1-10",2.01209209112401,0.00526097495055446
"co","2-ppm","part_2",3,"11-20",2.01406900924135,0.00296030134336465
"co","2-ppm","part_2",3,"21-30",2.01391136900924,0.00427768372744202
"co","2-ppm","part_3",4,"1-10",2.0130301096067,0.00367076801004368
"co","2-ppm","part_3",4,"11-20",2.01359503546099,0.00518917728961333
"co","2-ppm","part_3",4,"21-30",2.01247455405115,0.00372789547971517
"co","2-ppm","ref",1,"1-10",2.01367154523963,0.0040804485703075
"co","2-ppm","ref",1,"11-20",2.0121538577262,0.00479102779483378
"co","2-ppm","ref",1,"21-30",2.01374741027294,0.00410781987961453
"co","4-ppm","part_1",2,"1-10",4.02834714285714,0.0120840170236706
"co","4-ppm","part_1",2,"11-20",4.02174824675325,0.0144105106263574
"co","4-ppm","part_1",2,"21-30",4.02319577922078,0.0129199666385903
"co","4-ppm","part_2",3,"1-10",4.02555491341991,0.0119741280962216
"co","4-ppm","part_2",3,"11-20",4.02804854978355,0.0129700079855404
"co","4-ppm","part_2",3,"21-30",4.02798640692641,0.0103405001293677
"co","4-ppm","part_3",4,"1-10",4.02581798701299,0.0120277062680174
"co","4-ppm","part_3",4,"11-20",4.01839738095238,0.0117518719222823
"co","4-ppm","part_3",4,"21-30",4.02659575757576,0.00989599264002423
"co","4-ppm","ref",1,"1-10",4.0254069047619,0.0127470558979287
"co","4-ppm","ref",1,"11-20",4.02159461038961,0.0121341433910624
"co","4-ppm","ref",1,"21-30",4.02160218614719,0.0143603486783281
"co","6-ppm","part_1",2,"1-10",6.06935595238095,0.0142629764874485
"co","6-ppm","part_1",2,"11-20",6.06709634646962,0.0146697007113428
"co","6-ppm","part_1",2,"21-30",6.07084100985222,0.0108715747631205
"co","6-ppm","part_2",3,"1-10",6.07525418719212,0.0158118210411691
"co","6-ppm","part_2",3,"11-20",6.06869958949097,0.012437661550121
"co","6-ppm","part_2",3,"21-30",6.07454675697865,0.0133868245609976
"co","6-ppm","part_3",4,"1-10",6.07762122331691,0.0121991690095146
"co","6-ppm","part_3",4,"11-20",6.06934827586207,0.0138060960475159
"co","6-ppm","part_3",4,"21-30",6.07668349753695,0.0117179534020452
"co","6-ppm","ref",1,"1-10",6.07587561576355,0.0124718974367887
"co","6-ppm","ref",1,"11-20",6.07506740558292,0.0126799703360185
"co","6-ppm","ref",1,"21-30",6.06302253694581,0.0128532670293238
"co","8-ppm","part_1",2,"1-10",8.02975664961637,0.0601488202454287
"co","8-ppm","part_1",2,"11-20",8.02698250213129,0.0601619135736852
"co","8-ppm","part_1",2,"21-30",8.01541937340153,0.0564763116920039
"co","8-ppm","part_2",3,"1-10",8.04615961210571,0.0638916047634107
"co","8-ppm","part_2",3,"11-20",8.05031636828644,0.0592149685527703
"co","8-ppm","part_2",3,"21-30",8.01631035805627,0.0548355353410581
"co","8-ppm","part_3",4,"1-10",8.02927817561807,0.0564451720676662
"co","8-ppm","part_3",4,"11-20",8.01662376385337,0.0587109494156467
"co","8-ppm","part_3",4,"21-30",8.07186199914749,0.054301404420443
"co","8-ppm","ref",1,"1-10",8.0750604859335,0.0550987956882131
"co","8-ppm","ref",1,"11-20",8.01377331628303,0.054241300095492
"co","8-ppm","ref",1,"21-30",8.03069748508099,0.057642351943962
