level,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20
0-ppb,-0.0188671328671329,-0.047006993006993,-0.0903776223776224,-0.00714685314685315,-0.00703496503496503,-0.0404825174825175,-0.0741188811188811,-0.0351328671328671,-0.0281398601398601,-0.020951048951049,-0.0174545454545455,-0.028958041958042,-0.0241888111888112,-0.0698041958041958,-0.0472517482517483,-0.0454125874125874,-0.0337272727272727,-0.0777132867132867,-0.0136853146853147,-0.0241678321678322
0-ppb,-0.0275454545454545,-0.0617552447552448,0.0174125874125874,-0.0292097902097902,-0.00683216783216783,-0.0168111888111888,-0.0204615384615385,-0.0339160839160839,-0.0189370629370629,-0.0242447552447552,-0.0469090909090909,-0.0423496503496503,-0.0514825174825175,-0.0404615384615385,0.0133006993006993,-0.0402867132867133,-0.0715594405594406,-0.0711468531468532,-0.0576223776223776,-0.0514265734265734
0-ppb,-0.00819580419580419,-0.0366503496503496,-0.018041958041958,-0.0141118881118881,-0.0472447552447552,-0.0367342657342657,-0.0353006993006993,-0.0437202797202797,-0.0181048951048951,-0.0546993006993007,-0.00830769230769231,-0.0666853146853147,-0.0557762237762238,-0.0375734265734266,-0.0362937062937063,-0.0407902097902098,-0.0421888111888112,-0.0636223776223776,-0.0214545454545455,-0.0134265734265734
0-ppb,-0.00938461538461538,-0.0224265734265734,-0.0174335664335664,-0.00583916083916084,-0.0446643356643357,-0.00913986013986014,-0.015,-0.0253286713286713,-0.00804895104895105,-0.0189230769230769,-0.0641888111888112,-0.0311748251748252,-0.00225874125874126,-0.0614125874125874,-0.0283286713286713,-0.0653846153846154,-0.0475244755244755,-0.0488811188811189,-0.0107132867132867,-0.0453566433566434
0-ppb,-0.0288881118881119,-0.0685384615384615,-0.0359230769230769,-0.041993006993007,-0.0216923076923077,-0.00444055944055944,-0.0518321678321678,-0.0297412587412587,-0.00303496503496504,-0.040979020979021,-0.0152167832167832,-0.0217692307692308,-0.0244335664335664,-0.0248881118881119,-0.0581888111888112,-0.0514265734265734,-0.0490839160839161,-0.0454405594405594,-0.0252937062937063,-0.02
100-ppb,100.044047619048,99.9952380952381,100.040476190476,100.127380952381,100.029761904762,100.065476190476,100.064285714286,100.046428571429,100.039285714286,100.083333333333,100.040476190476,100.05,100.015476190476,100.021428571429,100.054761904762,100.063095238095,99.977380952381,100.025,100.084523809524,100.034523809524
100-ppb,100.116666666667,100.019047619048,100.089285714286,100.058333333333,100.082142857143,100.027380952381,100.102380952381,100.127380952381,99.9892857142857,100.013095238095,100.011904761905,100.105952380952,100.04880952381,100.017857142857,100.088095238095,100.040476190476,100.1,100.082142857143,100.061904761905,100.014285714286
100-ppb,100.07380952381,99.9988095238095,100.075,100.046428571429,100.061904761905,100.108333333333,100.020238095238,100.030952380952,100.117857142857,100.00119047619,100.054761904762,100.083333333333,100.028571428571,100.079761904762,99.9511904761905,100.130952380952,100.105952380952,99.9964285714286,100.011904761905,100.033333333333
100-ppb,100.053571428571,99.9785714285714,100.072619047619,100.038095238095,100.107142857143,100.030952380952,100.078571428571,100.022619047619,100.025,100.029761904762,100.021428571429,100.088095238095,100.069047619048,100.077380952381,100.007142857143,100.110714285714,100.084523809524,100.078571428571,100.083333333333,100.039285714286
100-ppb,100.05,100.009523809524,100.065476190476,99.9904761904762,100.025,100.067857142857,100.066666666667,100.061904761905,100.059523809524,99.9821428571429,100.059523809524,100.096428571429,100.030952380952,100.12380952381,100.080952380952,100.027380952381,100.061904761905,100.044047619048,100.047619047619,100.128571428571
120-ppb,121.134359550562,121.11743258427,121.131213483146,121.180803370787,121.155578651685,121.101252808989,121.168258426966,121.141466292135,121.151865168539,121.083573033708,121.153786516854,121.12747752809,121.15995505618,121.17208988764,121.108151685393,121.108191011236,121.152685393258,121.208792134831,121.099129213483,121.147196629213
120-ppb,121.182438202247,121.139196629213,121.117966292135,121.102303370787,121.142303370787,121.093657303371,121.081539325843,121.061359550562,121.210938202247,121.146735955056,121.112494382022,121.115095505618,121.093320224719,121.127668539326,121.110561797753,121.098314606742,121.159859550562,121.10058988764,121.123320224719,121.152808988764
120-ppb,121.059292134831,121.174595505618,121.093286516854,121.110915730337,121.065859550562,121.134011235955,121.263685393258,121.131730337079,121.157528089888,121.16106741573,121.170084269663,121.10993258427,121.226876404494,121.147,121.143061797753,121.179095505618,121.138882022472,121.214741573034,121.024365168539,121.1395
120-ppb,121.15041011236,121.096353932584,121.164820224719,121.044533707865,121.155449438202,121.204882022472,121.06195505618,121.116971910112,121.142466292135,121.092443820225,121.147679775281,121.135241573034,121.105943820225,121.185342696629,121.099235955056,121.10947752809,121.157078651685,121.12743258427,121.10856741573,121.046264044944
120-ppb,121.169213483146,121.122780898876,121.052837078652,121.09697752809,121.169584269663,121.095528089888,121.135471910112,121.153269662921,121.139651685393,121.000719101124,121.047235955056,121.13306741573,121.160494382022,121.250634831461,121.136921348315,121.129191011236,121.037421348315,121.147859550562,121.124207865169,121.201275280899
120-ppb,120.369688888889,120.387994444444,120.397305555556,120.390227777778,120.390844444444,120.414422222222,120.395816666667,120.44365,120.409588888889,120.326577777778,120.256111111111,120.348816666667,120.2761,120.347111111111,120.389927777778,120.309883333333,120.33035,120.365072222222,120.431272222222,120.400011111111
120-ppb,120.385827777778,120.35515,120.374555555556,120.404288888889,120.38045,120.385816666667,120.335872222222,120.380527777778,120.421677777778,120.316455555556,120.428783333333,120.4111,120.407877777778,120.288438888889,120.422472222222,120.398416666667,120.433811111111,120.3878,120.294038888889,120.386188888889
