"pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value"
"no2","0-ppb","part_1",2,"1-10",0.096471866278985,0.183001127601043
"no2","0-ppb","part_1",2,"11-20",0.175995514384652,0.165665854937889
"no2","0-ppb","part_1",2,"21-30",0.0742661343346823,0.18150586586161
"no2","0-ppb","part_2",3,"1-10",0.169858060227057,0.186878656742736
"no2","0-ppb","part_2",3,"11-20",0.147837502374308,0.176508219949805
"no2","0-ppb","part_2",3,"21-30",0.0684217647316667,0.179880132280029
"no2","0-ppb","part_3",4,"1-10",0.162733741470756,0.223362141650965
"no2","0-ppb","part_3",4,"11-20",0.140323409944332,0.138787739274907
"no2","0-ppb","part_3",4,"21-30",0.0790822021887465,0.177930724182958
"no2","0-ppb","ref",1,"1-10",0.128366695401879,0.220862106449237
"no2","0-ppb","ref",1,"11-20",0.182212577256323,0.167110586863852
"no2","0-ppb","ref",1,"21-30",0.187917279116319,0.184169793349268
"no2","120-ppb","part_1",2,"1-10",123.033924050633,0.387415673708879
"no2","120-ppb","part_1",2,"11-20",123.01164556962,0.364654034583541
"no2","120-ppb","part_1",2,"21-30",123.11,0.47707413032713
"no2","120-ppb","part_2",3,"1-10",122.994050632911,0.352043424098473
"no2","120-ppb","part_2",3,"11-20",122.966708860759,0.289113634628057
"no2","120-ppb","part_2",3,"21-30",122.988987341772,0.371691425561707
"no2","120-ppb","part_3",4,"1-10",122.743164556962,0.312656491109325
"no2","120-ppb","part_3",4,"11-20",122.977974683544,0.386070277332744
"no2","120-ppb","part_3",4,"21-30",122.911518987342,0.381078046451954
"no2","120-ppb","ref",1,"1-10",122.930632911393,0.506568438517015
"no2","120-ppb","ref",1,"11-20",122.911518987342,0.221699705267367
"no2","120-ppb","ref",1,"21-30",122.870632911392,0.377172615802379
"no2","30-ppb","part_1",2,"1-10",32.9214285714286,0.0325412794807553
"no2","30-ppb","part_1",2,"11-20",32.9277619047619,0.0363634476849718
"no2","30-ppb","part_1",2,"21-30",32.9169761904762,0.0275712389535726
"no2","30-ppb","part_2",3,"1-10",32.9297857142857,0.0313097400761018
"no2","30-ppb","part_2",3,"11-20",32.8918690476191,0.0457731189013618
"no2","30-ppb","part_2",3,"21-30",32.9171785714286,0.0165994534738822
"no2","30-ppb","part_3",4,"1-10",32.9237142857143,0.03235642356053
"no2","30-ppb","part_3",4,"11-20",32.9022976190476,0.0328403190000977
"no2","30-ppb","part_3",4,"21-30",32.9088095238095,0.0442609591162417
"no2","30-ppb","ref",1,"1-10",32.9115952380952,0.0286980878616295
"no2","30-ppb","ref",1,"11-20",32.911619047619,0.0437987104207117
"no2","30-ppb","ref",1,"21-30",32.9244285714286,0.0400503509628294
"no2","60-ppb","part_1",2,"1-10",65.0942637362637,0.254089084504104
"no2","60-ppb","part_1",2,"11-20",64.8853516483516,0.368393332147716
"no2","60-ppb","part_1",2,"21-30",64.8445494505494,0.24393531465463
"no2","60-ppb","part_2",3,"1-10",64.9377032967033,0.184226780450079
"no2","60-ppb","part_2",3,"11-20",65.0282307692308,0.168947866623642
"no2","60-ppb","part_2",3,"21-30",65.0564285714286,0.219999446523483
"no2","60-ppb","part_3",4,"1-10",64.9988131868132,0.288245194992909
"no2","60-ppb","part_3",4,"11-20",64.9322307692308,0.190335282129293
"no2","60-ppb","part_3",4,"21-30",64.9064615384615,0.190695976324864
"no2","60-ppb","ref",1,"1-10",64.9413626373626,0.295854437145425
"no2","60-ppb","ref",1,"11-20",65.017934065934,0.296711666322495
"no2","60-ppb","ref",1,"21-30",64.8850439560439,0.259486737123776
"no2","90-ppb","part_1",2,"1-10",96.8317441860465,0.0457113976935046
"no2","90-ppb","part_1",2,"11-20",96.8505,0.0350963395483808
"no2","90-ppb","part_1",2,"21-30",96.847034883721,0.0368664864374949
"no2","90-ppb","part_2",3,"1-10",96.8563837209302,0.0467783197137458
"no2","90-ppb","part_2",3,"11-20",96.8325465116279,0.0337368513604187
"no2","90-ppb","part_2",3,"21-30",96.8415,0.0342754657682784
"no2","90-ppb","part_3",4,"1-10",96.8640116279069,0.0428949217325149
"no2","90-ppb","part_3",4,"11-20",96.8410581395349,0.0317632974812745
"no2","90-ppb","part_3",4,"21-30",96.8299069767442,0.0198612911252842
"no2","90-ppb","ref",1,"1-10",96.8381744186047,0.0508007229152296
"no2","90-ppb","ref",1,"11-20",96.8343023255814,0.0310539384704395
"no2","90-ppb","ref",1,"21-30",96.8413720930233,0.0489247646309615
