"pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value"
"no","0-ppb","part_1",2,"1-10",0.567393939393939,0.163557531221709
"no","0-ppb","part_1",2,"11-20",0.59614898989899,0.147138331243129
"no","0-ppb","part_1",2,"21-30",0.528357070707071,0.113001320764337
"no","0-ppb","part_2",3,"1-10",0.537614646464646,0.115703251211526
"no","0-ppb","part_2",3,"11-20",0.544418686868687,0.0945112962140685
"no","0-ppb","part_2",3,"21-30",0.613063383838384,0.148491688719358
"no","0-ppb","part_3",4,"1-10",0.561835353535354,0.124741389608352
"no","0-ppb","part_3",4,"11-20",0.537664646464647,0.14660063462674
"no","0-ppb","part_3",4,"21-30",0.599738131313131,0.166909168029875
"no","0-ppb","part_4",5,"1-10",0.544363383838384,0.114406260256021
"no","0-ppb","part_4",5,"11-20",0.614392676767677,0.144993955252951
"no","0-ppb","part_4",5,"21-30",0.54559696969697,0.125166146076161
"no","0-ppb","part_5",6,"1-10",0.60022702020202,0.143315517887733
"no","0-ppb","part_5",6,"11-20",0.582599242424242,0.154658988958638
"no","0-ppb","part_5",6,"21-30",0.559116666666667,0.16184384105476
"no","0-ppb","part_6",7,"1-10",0.543407323232323,0.134339018887138
"no","0-ppb","part_6",7,"11-20",0.488398484848485,0.067190952905115
"no","0-ppb","part_6",7,"21-30",0.549941414141414,0.149483834599849
"no","0-ppb","part_7",8,"1-10",0.486185606060606,0.0766587432381511
"no","0-ppb","part_7",8,"11-20",0.534754545454545,0.112003331031892
"no","0-ppb","part_7",8,"21-30",0.55085404040404,0.109061716641901
"no","0-ppb","part_8",9,"1-10",0.543333080808081,0.138666978564445
"no","0-ppb","part_8",9,"11-20",0.544963131313131,0.132615517009592
"no","0-ppb","part_8",9,"21-30",0.527915151515151,0.0943091260239586
"no","0-ppb","part_9",10,"1-10",0.594073737373737,0.145230071607475
"no","0-ppb","part_9",10,"11-20",0.605377777777778,0.107029836582861
"no","0-ppb","part_9",10,"21-30",0.508707828282828,0.0877335112106334
"no","0-ppb","ref",1,"1-10",0.621672727272727,0.104786701887987
"no","0-ppb","ref",1,"11-20",0.553195707070707,0.134739040428492
"no","0-ppb","ref",1,"21-30",0.505333838383838,0.121606735865861
"no","121-ppb","part_1",2,"1-10",120.366837944664,0.0921086107492229
"no","121-ppb","part_1",2,"11-20",120.387193675889,0.073506263234331
"no","121-ppb","part_1",2,"21-30",120.35814229249,0.0621243766110421
"no","121-ppb","part_2",3,"1-10",120.373083003953,0.0956339246593727
"no","121-ppb","part_2",3,"11-20",120.34209486166,0.0971909263223423
"no","121-ppb","part_2",3,"21-30",120.35371541502,0.0760642130169324
"no","121-ppb","part_3",4,"1-10",120.366640316205,0.0562658552721386
"no","121-ppb","part_3",4,"11-20",120.340750988142,0.0719679889933935
"no","121-ppb","part_3",4,"21-30",120.357984189723,0.0658511283166622
"no","121-ppb","part_4",5,"1-10",120.310830039526,0.0739038131950017
"no","121-ppb","part_4",5,"11-20",120.373517786561,0.0811604897008049
"no","121-ppb","part_4",5,"21-30",120.377984189723,0.0971126305945987
"no","121-ppb","part_5",6,"1-10",120.360434782609,0.0523063124910726
"no","121-ppb","part_5",6,"11-20",120.344229249012,0.0538934412763614
"no","121-ppb","part_5",6,"21-30",120.313241106719,0.0400189902170142
"no","121-ppb","part_6",7,"1-10",120.377984189723,0.088075416117766
"no","121-ppb","part_6",7,"11-20",120.384387351779,0.0651923003063202
"no","121-ppb","part_6",7,"21-30",120.353003952569,0.0508022437321487
"no","121-ppb","part_7",8,"1-10",120.339525691699,0.0418984761293876
"no","121-ppb","part_7",8,"11-20",120.338537549407,0.0451267514603428
"no","121-ppb","part_7",8,"21-30",120.345731225296,0.0645691287745775
"no","121-ppb","part_8",9,"1-10",120.357549407115,0.116830676369977
"no","121-ppb","part_8",9,"11-20",120.345652173913,0.0627758605755589
"no","121-ppb","part_8",9,"21-30",120.336877470356,0.0828486427867011
"no","121-ppb","part_9",10,"1-10",120.36814229249,0.0595439382595052
"no","121-ppb","part_9",10,"11-20",120.331146245059,0.0880787172918907
"no","121-ppb","part_9",10,"21-30",120.349644268775,0.0717662440248707
"no","121-ppb","ref",1,"1-10",120.3495256917,0.0611066710753892
"no","121-ppb","ref",1,"11-20",120.351501976284,0.0812019826627316
"no","121-ppb","ref",1,"21-30",120.31790513834,0.0953757570658638
"no","122-ppb","part_1",2,"1-10",40.7309302325582,0.0462220312546752
"no","122-ppb","part_1",2,"11-20",40.7264069767442,0.0411917024992367
"no","122-ppb","part_1",2,"21-30",40.726011627907,0.0501887564436497
"no","122-ppb","part_2",3,"1-10",40.7362906976744,0.051275816252613
"no","122-ppb","part_2",3,"11-20",40.7546627906977,0.0495393857667112
"no","122-ppb","part_2",3,"21-30",40.7435930232558,0.0516602969491232
"no","122-ppb","part_3",4,"1-10",40.7152558139535,0.0406469525193976
"no","122-ppb","part_3",4,"11-20",40.7182093023256,0.0519330438469121
"no","122-ppb","part_3",4,"21-30",40.7523139534884,0.0315904765022071
"no","122-ppb","part_4",5,"1-10",40.7318837209302,0.0459827423649116
"no","122-ppb","part_4",5,"11-20",40.7088953488372,0.0342900056709376
"no","122-ppb","part_4",5,"21-30",40.7256744186046,0.0314291042576045
"no","122-ppb","part_5",6,"1-10",40.735988372093,0.0467918962170866
"no","122-ppb","part_5",6,"11-20",40.725023255814,0.0428066970987822
"no","122-ppb","part_5",6,"21-30",40.7268488372093,0.0563672363933221
"no","122-ppb","part_6",7,"1-10",40.7163953488372,0.0496152494338446
"no","122-ppb","part_6",7,"11-20",40.7419418604651,0.0662271669934544
"no","122-ppb","part_6",7,"21-30",40.7335465116279,0.0667880014013165
"no","122-ppb","part_7",8,"1-10",40.7339186046512,0.0602334323462636
"no","122-ppb","part_7",8,"11-20",40.7033837209302,0.0621295813659998
"no","122-ppb","part_7",8,"21-30",40.751523255814,0.039833250548846
"no","122-ppb","part_8",9,"1-10",40.7403023255814,0.0414712091242424
"no","122-ppb","part_8",9,"11-20",40.7343837209302,0.0581375723182951
"no","122-ppb","part_8",9,"21-30",40.7355465116279,0.0576764776764226
"no","122-ppb","part_9",10,"1-10",40.7455465116279,0.0426619034799398
"no","122-ppb","part_9",10,"11-20",40.7191744186047,0.0363129872757483
"no","122-ppb","part_9",10,"21-30",40.7072674418605,0.0456089818567317
"no","122-ppb","ref",1,"1-10",40.696,0.0569657796758948
"no","122-ppb","ref",1,"11-20",40.7567093023256,0.0715769234054048
"no","122-ppb","ref",1,"21-30",40.7306627906977,0.0491764411730089
"no","180-ppb","part_1",2,"1-10",182.316893289329,0.224706846845212
"no","180-ppb","part_1",2,"11-20",182.223938393839,0.24921434040557
"no","180-ppb","part_1",2,"21-30",182.257168316832,0.289236824997204
"no","180-ppb","part_2",3,"1-10",182.171535753575,0.247623176085843
"no","180-ppb","part_2",3,"11-20",182.137281628163,0.226304979148104
"no","180-ppb","part_2",3,"21-30",182.266709570957,0.232400565185939
"no","180-ppb","part_3",4,"1-10",182.1850330033,0.225317449419176
"no","180-ppb","part_3",4,"11-20",182.211420242024,0.27350496750306
"no","180-ppb","part_3",4,"21-30",182.188530253025,0.251685127982057
"no","180-ppb","part_4",5,"1-10",182.412457645765,0.220609433344694
"no","180-ppb","part_4",5,"11-20",182.243767876788,0.286328306602411
"no","180-ppb","part_4",5,"21-30",182.208062706271,0.244681084845033
"no","180-ppb","part_5",6,"1-10",182.453898789879,0.211861396904513
"no","180-ppb","part_5",6,"11-20",182.184404840484,0.245365640410903
"no","180-ppb","part_5",6,"21-30",182.378668866887,0.244898851563391
"no","180-ppb","part_6",7,"1-10",182.265675467547,0.273010647865719
"no","180-ppb","part_6",7,"11-20",182.284588558856,0.214239453490804
"no","180-ppb","part_6",7,"21-30",182.288547854785,0.250837391429278
"no","180-ppb","part_7",8,"1-10",182.313112211221,0.255563683593233
"no","180-ppb","part_7",8,"11-20",182.220749174917,0.287333338183217
"no","180-ppb","part_7",8,"21-30",182.144864686469,0.225493324868603
"no","180-ppb","part_8",9,"1-10",182.309093509351,0.270200917197246
"no","180-ppb","part_8",9,"11-20",182.332936193619,0.232001687897145
"no","180-ppb","part_8",9,"21-30",182.255610561056,0.26851979750758
"no","180-ppb","part_9",10,"1-10",182.351172717272,0.236281157174399
"no","180-ppb","part_9",10,"11-20",182.22703520352,0.234396502586832
"no","180-ppb","part_9",10,"21-30",182.206209020902,0.303170302090391
"no","180-ppb","ref",1,"1-10",182.20199339934,0.256744844846911
"no","180-ppb","ref",1,"11-20",182.131357535754,0.251930918855079
"no","180-ppb","ref",1,"21-30",182.320609460946,0.292818130119226
"no","181-ppb","part_1",2,"1-10",180.215,0.07584294897389
"no","181-ppb","part_1",2,"11-20",180.179891304348,0.0715159939252117
"no","181-ppb","part_1",2,"21-30",180.218804347826,0.0983267515660454
"no","181-ppb","part_2",3,"1-10",180.190869565217,0.0944814721637468
"no","181-ppb","part_2",3,"11-20",180.210217391304,0.04047346339557
"no","181-ppb","part_2",3,"21-30",180.235,0.0705113795949806
"no","181-ppb","part_3",4,"1-10",180.21652173913,0.056912436381074
"no","181-ppb","part_3",4,"11-20",180.243695652174,0.0412241784908782
"no","181-ppb","part_3",4,"21-30",180.166956521739,0.0847674333006279
"no","181-ppb","part_4",5,"1-10",180.228152173913,0.0664664013142458
"no","181-ppb","part_4",5,"11-20",180.2275,0.0693384930039203
"no","181-ppb","part_4",5,"21-30",180.222282608696,0.0856993206273169
"no","181-ppb","part_5",6,"1-10",180.22,0.044590837457156
"no","181-ppb","part_5",6,"11-20",180.212934782609,0.0914529645090792
"no","181-ppb","part_5",6,"21-30",180.190869565217,0.0547070255373903
"no","181-ppb","part_6",7,"1-10",180.165217391304,0.0705694424574354
"no","181-ppb","part_6",7,"11-20",180.239239130435,0.0743706529073701
"no","181-ppb","part_6",7,"21-30",180.275543478261,0.0432550125912447
"no","181-ppb","part_7",8,"1-10",180.170326086956,0.0880428072974121
"no","181-ppb","part_7",8,"11-20",180.183804347826,0.0599907444027296
"no","181-ppb","part_7",8,"21-30",180.210869565218,0.113354273613204
"no","181-ppb","part_8",9,"1-10",180.228913043478,0.0810691138365949
"no","181-ppb","part_8",9,"11-20",180.227934782609,0.0664774607143831
"no","181-ppb","part_8",9,"21-30",180.202717391304,0.0589706609881101
"no","181-ppb","part_9",10,"1-10",180.194347826087,0.100197767053723
"no","181-ppb","part_9",10,"11-20",180.211413043478,0.0838817023648676
