"pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value"
"o3","0-ppb","part_1",2,"1-10",2.90322580645161e-05,3.20783524519921e-05
"o3","0-ppb","part_1",2,"11-20",2.90322580645161e-05,3.2078352451992e-05
"o3","0-ppb","part_1",2,"21-30",1.93548387096774e-05,2.72023884745667e-05
"o3","0-ppb","part_2",3,"1-10",3.87096774193548e-05,2.9643115595893e-05
"o3","0-ppb","part_2",3,"11-20",2.90322580645161e-05,2.82450011539004e-05
"o3","0-ppb","part_2",3,"21-30",4.19354838709671e-05,4.31449519306199e-05
"o3","0-ppb","part_3",4,"1-10",3.87096774193548e-05,2.9643115595893e-05
"o3","0-ppb","part_3",4,"11-20",4.516129032258e-05,3.78641222831362e-05
"o3","0-ppb","part_3",4,"21-30",2.58064516129032e-05,2.54455044434392e-05
"o3","0-ppb","ref",1,"1-10",3.2258064516129e-05,2.63385993847654e-05
"o3","0-ppb","ref",1,"11-20",5.16129032258065e-05,2.72023884745667e-05
"o3","0-ppb","ref",1,"21-30",3.2258064516129e-05,3.0413194889744e-05
"o3","120-ppb","part_1",2,"1-10",119.87995026999,0.855187449602128
"o3","120-ppb","part_1",2,"11-20",120.0277496054,0.820980170071565
"o3","120-ppb","part_1",2,"21-30",120.05290721703,0.826875190286585
"o3","120-ppb","part_2",3,"1-10",120.047780716511,0.818608347454042
"o3","120-ppb","part_2",3,"11-20",119.890407528557,0.846254648195351
"o3","120-ppb","part_2",3,"21-30",119.744077320872,0.836461990487286
"o3","120-ppb","part_3",4,"1-10",119.737472087227,0.844010177979057
"o3","120-ppb","part_3",4,"11-20",119.741609906542,0.835119363440887
"o3","120-ppb","part_3",4,"21-30",120.067534215992,0.778358139829359
"o3","120-ppb","ref",1,"1-10",120.048292772586,0.793798765548826
"o3","120-ppb","ref",1,"11-20",119.902405420561,0.852663283272762
"o3","120-ppb","ref",1,"21-30",119.886087798546,0.858214755443818
"o3","180-ppb","part_1",2,"1-10",177.63742322825,1.92349695362301
"o3","180-ppb","part_1",2,"11-20",178.035597652826,2.02021213267488
"o3","180-ppb","part_1",2,"21-30",180.001597096383,1.27824158365755
"o3","180-ppb","part_2",3,"1-10",178.7509531203,2.02696625120346
"o3","180-ppb","part_2",3,"11-20",178.84105953257,2.02635850265505
"o3","180-ppb","part_2",3,"21-30",179.244668256757,1.83074269583977
"o3","180-ppb","part_3",4,"1-10",178.863279177728,2.05949674757512
"o3","180-ppb","part_3",4,"11-20",178.374066183628,2.08958702704155
"o3","180-ppb","part_3",4,"21-30",178.054565048849,2.0847225147382
"o3","180-ppb","ref",1,"1-10",178.047862826954,2.10019065595821
"o3","180-ppb","ref",1,"11-20",178.333201310461,2.13783188745857
"o3","180-ppb","ref",1,"21-30",177.652086836785,1.99704294785494
"o3","40-ppb","part_1",2,"1-10",40.4123246300211,0.303921304339718
"o3","40-ppb","part_1",2,"11-20",40.6516266384778,0.330093790869431
"o3","40-ppb","part_1",2,"21-30",40.4550927061311,0.321356028831792
"o3","40-ppb","part_2",3,"1-10",40.401789934226,0.305863711237367
"o3","40-ppb","part_2",3,"11-20",40.5865897580456,0.340818831718276
"o3","40-ppb","part_2",3,"21-30",40.4004126262626,0.317750238235518
"o3","40-ppb","part_3",4,"1-10",40.6560105473338,0.317477761514029
"o3","40-ppb","part_3",4,"11-20",40.4536009866103,0.326482238409973
"o3","40-ppb","part_3",4,"21-30",40.6612626614987,0.294862978099603
"o3","40-ppb","ref",1,"1-10",40.4151499647639,0.301011542480533
"o3","40-ppb","ref",1,"11-20",40.6514008339206,0.30378782899726
"o3","40-ppb","ref",1,"21-30",40.6105798567066,0.334653673014355
"o3","80-ppb","part_1",2,"1-10",80.0055839875632,0.586604657332237
"o3","80-ppb","part_1",2,"11-20",79.9947304443581,0.589228011903991
"o3","80-ppb","part_1",2,"21-30",80.1883565358207,0.580221098851205
"o3","80-ppb","part_2",3,"1-10",80.1980247052727,0.584790531331327
"o3","80-ppb","part_2",3,"11-20",80.0917021764477,0.614798344630188
"o3","80-ppb","part_2",3,"21-30",80.325636623915,0.543409348715561
"o3","80-ppb","part_3",4,"1-10",79.7569172949864,0.474207076644387
"o3","80-ppb","part_3",4,"11-20",80.3327486202876,0.556479159665521
"o3","80-ppb","part_3",4,"21-30",80.4239494364555,0.481306719785997
"o3","80-ppb","ref",1,"1-10",80.0761667443969,0.586755844455352
"o3","80-ppb","ref",1,"11-20",80.1009182277497,0.595855524225528
"o3","80-ppb","ref",1,"21-30",80.1018071382304,0.589245941797935
