"Score","Criteria","co","no","no2","o3","so2"
"z-score","Satisfactory",27,29,28,30,27
"z-score","Questionable",2,1,1,0,1
"z-score","Unsatisfactory",1,0,1,0,2
"z-score","N/A",0,0,0,0,0
"z'-score","Satisfactory",28,29,28,30,27
"z'-score","Questionable",1,1,1,0,1
"z'-score","Unsatisfactory",1,0,1,0,2
"z'-score","N/A",0,0,0,0,0
"zeta-score","Satisfactory",30,30,30,30,30
"zeta-score","Questionable",0,0,0,0,0
"zeta-score","Unsatisfactory",0,0,0,0,0
"zeta-score","N/A",0,0,0,0,0
"En-score","Satisfactory",30,30,30,30,30
"En-score","Questionable",0,0,0,0,0
"En-score","Unsatisfactory",0,0,0,0,0
"En-score","N/A",0,0,0,0,0
