"Combinación","Participant","Result","u(xi)","z-score","z-score Eval","z'-score","z'-score Eval","zeta-score","zeta-score Eval","En-score","En-score Eval","Classification z+En","Classification z+En Code","Classification z'+En","Classification z'+En Code"
"Referencia (1)","part_1",8.02984114094913,0.0574799443916015,-0.855989238527677,"Satisfactory",-0.796053822151699,"Satisfactory",-0.278068872235932,"Satisfactory",-0.139034436117966,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_2",8.04861095481671,0.0598209278077271,0.140905303472662,"Satisfactory",0.131039270521426,"Satisfactory",0.0440098134714122,"Satisfactory",0.0220049067357061,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_3",8.04977394146064,0.0538856406351387,0.202673366061571,"Satisfactory",0.188482401927355,"Satisfactory",0.0701505394290308,"Satisfactory",0.0350752697145154,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_4",8.0424066211992,0.0605119868378335,-0.1886166813311,"Satisfactory",-0.175409950659486,"Satisfactory",-0.0582490974898612,"Satisfactory",-0.0291245487449306,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_5",8.05363650895141,0.0582857130325925,0.407820443002005,"Satisfactory",0.379265308243531,"Satisfactory",0.130678946019962,"Satisfactory",0.0653394730099811,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_6",8.04956724211424,0.062242529155976,0.191695236405089,"Satisfactory",0.178272948724238,"Satisfactory",0.0575774080714748,"Satisfactory",0.0287887040357374,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_1",8.02984114094913,0.0574799443916015,-4.96117698652802,"Unsatisfactory",-4.41903714204813,"Unsatisfactory",-0.334665418601861,"Satisfactory",-0.167332709300931,"Satisfactory","Z Unsatisfactory & En ≤ 1","unsat_en_good","Z Unsatisfactory & En ≤ 1","unsat_en_good"
"Consenso MADe (2a)","part_2",8.04861095481671,0.0598209278077271,-0.123241921356323,"Satisfactory",-0.109774480815711,"Satisfactory",-0.00798854194015933,"Satisfactory",-0.00399427097007966,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_3",8.04977394146064,0.0538856406351387,0.176518849032671,"Satisfactory",0.157229494586698,"Satisfactory",0.0127006229773375,"Satisfactory",0.00635031148866874,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_4",8.0424066211992,0.0605119868378335,-1.72241404825774,"Satisfactory",-1.53419474328472,"Satisfactory",-0.110373228438861,"Satisfactory",-0.0551866142194304,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_5",8.05363650895141,0.0582857130325925,1.17209881785876,"Satisfactory",1.0440160115903,"Satisfactory",0.0779743273722701,"Satisfactory",0.0389871636861351,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_6",8.04956724211424,0.062242529155976,0.123241921356323,"Satisfactory",0.109774480815711,"Satisfactory",0.0076780610630045,"Satisfactory",0.00383903053150225,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_1",8.02984114094913,0.0574799443916015,-4.50426916650043,"Unsatisfactory",-4.0120585898463,"Unsatisfactory",-0.334623157521499,"Satisfactory",-0.16731157876075,"Satisfactory","Z Unsatisfactory & En ≤ 1","unsat_en_good","Z Unsatisfactory & En ≤ 1","unsat_en_good"
"Consenso nIQR (2b)","part_2",8.04861095481671,0.0598209278077271,-0.111891752278332,"Satisfactory",-0.0996646180028403,"Satisfactory",-0.0079876104688898,"Satisfactory",-0.0039938052344449,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_3",8.04977394146064,0.0538856406351387,0.160262052969094,"Satisfactory",0.14274918360188,"Satisfactory",0.0126987984133684,"Satisfactory",0.0063493992066842,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_4",8.0424066211992,0.0605119868378335,-1.5637854707828,"Satisfactory",-1.39290053476212,"Satisfactory",-0.110360650726203,"Satisfactory",-0.0551803253631013,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_5",8.05363650895141,0.0582857130325925,1.06415243393031,"Satisfactory",0.947865626061835,"Satisfactory",0.0779647508850779,"Satisfactory",0.0389823754425389,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_6",8.04956724211424,0.062242529155976,0.111891752278332,"Satisfactory",0.0996646180028403,"Satisfactory",0.00767723402135736,"Satisfactory",0.00383861701067868,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_1",8.02984114094913,0.0574799443916015,-4.42097099316798,"Unsatisfactory",-3.93786294578434,"Unsatisfactory",-0.328903637008642,"Satisfactory",-0.164451818504321,"Satisfactory","Z Unsatisfactory & En ≤ 1","unsat_en_good","Z Unsatisfactory & En ≤ 1","unsat_en_good"
"Algoritmo A (3)","part_2",8.04861095481671,0.0598209278077271,-0.03486215490933,"Satisfactory",-0.0310525421315353,"Satisfactory",-0.00249225486197329,"Satisfactory",-0.00124612743098664,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
