"Combinación","Participant","Result","u(xi)","z-score","z-score Eval","z'-score","z'-score Eval","zeta-score","zeta-score Eval","En-score","En-score Eval","Classification z+En","Classification z+En Code","Classification z'+En","Classification z'+En Code"
"Referencia (1)","part_1",178.549360014225,2.02141307439287,2.68347265665859,"Questionable",2.49557887976132,"Questionable",0.335836191121152,"Satisfactory",0.167918095560576,"Satisfactory","Z Questionable & En ≤ 1","ques_en_good","Z Questionable & En ≤ 1","ques_en_good"
"Referencia (1)","part_2",178.635441853644,1.89544899109052,3.02332798169349,"Unsatisfactory",2.81163791215988,"Questionable",0.403446161109066,"Satisfactory",0.201723080554533,"Satisfactory","Z Unsatisfactory & En ≤ 1","unsat_en_good","Z Questionable & En ≤ 1","ques_en_good"
"Referencia (1)","part_3",178.940637594119,1.7443389077017,4.22825573741258,"Unsatisfactory",3.93219796383375,"Unsatisfactory",0.612962091643281,"Satisfactory",0.306481045821641,"Satisfactory","Z Unsatisfactory & En ≤ 1","unsat_en_good","Z Unsatisfactory & En ≤ 1","unsat_en_good"
"Referencia (1)","part_4",178.023719402147,1.77645391062335,0.608217733243549,"Satisfactory",0.565631002653446,"Satisfactory",0.0865832575244812,"Satisfactory",0.0432916287622406,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_5",178.153058762544,2.00951243033842,1.11885587323651,"Satisfactory",1.04051482686718,"Satisfactory",0.140851841032278,"Satisfactory",0.0704259205161392,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_6",177.727645043058,1.95606877001487,-0.560698361281975,"Satisfactory",-0.521438884372468,"Satisfactory",-0.0725094255094303,"Satisfactory",-0.0362547127547152,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_1",178.549360014225,2.02141307439287,0.436847518118925,"Satisfactory",0.389110369015489,"Satisfactory",0.0973893603361971,"Satisfactory",0.0486946801680985,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_2",178.635441853644,1.89544899109052,0.626625560683798,"Satisfactory",0.558150139440262,"Satisfactory",0.148849401930276,"Satisfactory",0.0744247009651382,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_3",178.940637594119,1.7443389077017,1.29946724968477,"Satisfactory",1.1574660724311,"Satisfactory",0.334972802211316,"Satisfactory",0.167486401105658,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_4",178.023719402147,1.77645391062335,-0.721992106207638,"Satisfactory",-0.643095366736739,"Satisfactory",-0.182805078038749,"Satisfactory",-0.0914025390193744,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_5",178.153058762544,2.00951243033842,-0.436847518118925,"Satisfactory",-0.389110369015489,"Satisfactory",-0.0979585847582692,"Satisfactory",-0.0489792923791346,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_6",177.727645043058,1.95606877001487,-1.37472458382544,"Satisfactory",-1.22449955172083,"Satisfactory",-0.316575617251397,"Satisfactory",-0.158287808625699,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_1",178.549360014225,2.02141307439287,0.479149079648281,"Satisfactory",0.426789365768169,"Satisfactory",0.0974959057475538,"Satisfactory",0.0487479528737769,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_2",178.635441853644,1.89544899109052,0.687304032259586,"Satisfactory",0.612197882615772,"Satisfactory",0.149034320918166,"Satisfactory",0.0745171604590829,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_3",178.940637594119,1.7443389077017,1.42529947154246,"Satisfactory",1.26954779488638,"Satisfactory",0.335463030364289,"Satisfactory",0.167731515182144,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_4",178.023719402147,1.77645391062335,-0.791905273245792,"Satisfactory",-0.705368670571446,"Satisfactory",-0.183063165289304,"Satisfactory",-0.0915315826446522,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
