"Combinación","Participant","Result","u(xi)","z-score","z-score Eval","z'-score","z'-score Eval","zeta-score","zeta-score Eval","En-score","En-score Eval","Classification z+En","Classification z+En Code","Classification z'+En","Classification z'+En Code"
"Referencia (1)","part_1",59.9045161290323,0.0324206172434224,0.302527746899323,"Satisfactory",0.281345089852273,"Satisfactory",0.259033257083551,"Satisfactory",0.129516628541776,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_2",59.8904659498208,0.0376193833357678,-0.173740834562026,"Satisfactory",-0.161575694169729,"Satisfactory",-0.130136164653149,"Satisfactory",-0.0650680823265743,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_3",59.891541218638,0.0392179746497397,-0.137291708429897,"Satisfactory",-0.127678695392643,"Satisfactory",-0.098990264595965,"Satisfactory",-0.0494951322979825,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_4",59.8900358422939,0.0335929671442209,-0.188320485014396,"Satisfactory",-0.175134493680115,"Satisfactory",-0.156233228869732,"Satisfactory",-0.078116614434866,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_5",59.8879211469534,0.0341301963020917,-0.260003766408868,"Satisfactory",-0.241798591276244,"Satisfactory",-0.212664821487139,"Satisfactory",-0.10633241074357,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_6",59.8951612903226,0.0409151917188889,-0.01457965045237,"Satisfactory",-0.0135587995103862,"Satisfactory",-0.0101095918995257,"Satisfactory",-0.00505479594976283,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_1",59.9045161290323,0.0324206172434224,4.49937044618208,"Unsatisfactory",4.00769518432901,"Unsatisfactory",0.416323738919002,"Satisfactory",0.208161869459501,"Satisfactory","Z Unsatisfactory & En ≤ 1","unsat_en_good","Z Unsatisfactory & En ≤ 1","unsat_en_good"
"Consenso MADe (2a)","part_2",59.8904659498208,0.0376193833357678,-0.179020044277206,"Satisfactory",-0.15945736807622,"Satisfactory",-0.0142795754037841,"Satisfactory",-0.00713978770189206,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_3",59.891541218638,0.0392179746497397,0.179020044277206,"Satisfactory",0.15945736807622,"Satisfactory",0.0136984219749118,"Satisfactory",0.0068492109874559,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_4",59.8900358422939,0.0335929671442209,-0.322236079694238,"Satisfactory",-0.287023262532981,"Satisfactory",-0.0287779403687097,"Satisfactory",-0.0143889701843548,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_5",59.8879211469534,0.0341301963020917,-1.0263815871972,"Satisfactory",-0.91422224364402,"Satisfactory",-0.0902231657922728,"Satisfactory",-0.0451115828961364,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_6",59.8951612903226,0.0409151917188889,1.38442167573741,"Satisfactory",1.23313697978382,"Satisfactory",0.101546449326657,"Satisfactory",0.0507732246633286,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_1",59.9045161290323,0.0324206172434224,4.43194799694712,"Unsatisfactory",3.94764042148016,"Unsatisfactory",0.416309511132915,"Satisfactory",0.208154755566458,"Satisfactory","Z Unsatisfactory & En ≤ 1","unsat_en_good","Z Unsatisfactory & En ≤ 1","unsat_en_good"
"Consenso nIQR (2b)","part_2",59.8904659498208,0.0376193833357678,-0.176337453458847,"Satisfactory",-0.157067921278528,"Satisfactory",-0.0142792127471851,"Satisfactory",-0.00713960637359253,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_3",59.891541218638,0.0392179746497397,0.176337453458847,"Satisfactory",0.157067921278528,"Satisfactory",0.0136981018181766,"Satisfactory",0.00684905090908832,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_4",59.8900358422939,0.0335929671442209,-0.317407416221264,"Satisfactory",-0.282722258297199,"Satisfactory",-0.0287770241912093,"Satisfactory",-0.0143885120956046,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
