"","Item","sample_id","sample_1","sample_2","average","range"
"1",1,1,4.03580952380952,4.01236363636364,3.01605772005772,3.03580952380952
"2",2,2,4.00663636363636,4.04040476190476,3.34901370851371,2.04040476190476
"3",3,3,4.00718181818182,4.03604761904762,3.68107647907648,1.03604761904762
"4",4,4,4.01227272727273,4.03395238095238,4.01540836940837,0.0339523809523801
"5",5,5,4.03325,4.01123636363636,4.34816212121212,0.98876363636364
"6",6,6,4.01876363636364,4.03289285714286,4.6838854978355,1.98123636363636
"7",7,7,4.0335,4.03265476190476,5.02205158730159,2.96734523809524
"8",8,8,4.01718181818182,4.00665454545455,5.34127878787879,3.99334545454545
"9",9,9,4.00841818181818,4.0058,5.67140606060606,4.9942
"10",10,10,4.00716363636364,4.00761818181818,6.00492727272727,5.99283636363636
