"","Item","sample_id","sample_1","sample_2","average","range"
"1",1,1,96.8218604651163,96.8812790697674,64.9010465116279,95.8812790697674
"2",2,2,96.7582558139535,96.7377906976744,65.1653488372093,94.7582558139535
"3",3,3,96.861511627907,96.8351162790698,65.5655426356589,93.861511627907
"4",4,4,96.7922093023256,96.8709302325581,65.8877131782946,92.8709302325581
"5",5,5,96.7966279069767,96.8694186046512,66.222015503876,91.8694186046512
"6",6,6,96.7783720930233,96.8627906976744,66.5470542635659,90.8627906976744
"7",7,7,96.7517441860465,96.9073255813954,66.8863565891473,89.9073255813954
"8",8,8,96.8479069767442,96.8216279069767,67.2231782945736,88.8479069767442
"9",9,9,96.8601162790698,96.8566279069767,67.5722480620155,87.8601162790698
"10",10,10,96.8677906976744,96.8152325581395,67.8943410852713,86.8677906976744
