"","Item","sample_id","sample_1","sample_2","average","range"
"1",1,1,24.2535882352941,25.9887058823529,17.0807647058823,24.9887058823529
"2",2,2,22.0098235294118,25.2569411764706,16.4222549019608,23.2569411764706
"3",3,3,25.8674117647059,23.6958823529412,17.5210980392157,22.8674117647059
"4",4,4,24.0659411764706,25.6374705882353,17.901137254902,21.6374705882353
"5",5,5,24.9274705882353,24.9139411764706,18.2804705882353,19.9274705882353
"6",6,6,25.8413529411765,24.9017058823529,18.9143529411765,19.8413529411765
"7",7,7,24.1737058823529,25.6390588235294,18.9375882352941,18.6390588235294
"8",8,8,24.212,25.1004705882353,19.1041568627451,17.1004705882353
"9",9,9,26.5019411764706,24.5288823529412,20.0102745098039,17.5019411764706
"10",10,10,23.4962941176471,24.7543529411765,19.4168823529412,14.7543529411765
