"","Item","sample_id","sample_1","sample_2","average","range"
"1",1,1,180.414268817204,180.460095744681,120.624788187295,179.460095744681
"2",2,2,176.452356060606,176.395590909091,118.282648989899,174.452356060606
"3",3,3,176.559681818182,176.376590909091,118.645424242424,173.559681818182
"4",4,4,176.372143939394,180.242032608696,120.20472551603,176.242032608696
"5",5,5,180.374072916667,180.339947368421,121.904673428363,175.374072916667
"6",6,6,176.362371212121,180.429457446808,120.930609552976,174.429457446808
"7",7,7,176.421863636364,176.448060606061,119.956641414142,169.448060606061
"8",8,8,176.516424242424,176.591734848485,120.369386363636,168.591734848485
"9",9,9,180.529436170213,180.353273684211,123.294236618141,171.529436170213
"10",10,10,180.455655913978,176.545007575758,122.333554496579,170.455655913978
