"Item","sample_id","sample_1","sample_2","average","range"
1,1,122.120171122995,122.22722459893,81.7824652406417,121.22722459893
2,2,122.187796791444,122.136117647059,82.107971479501,120.187796791444
3,3,122.148663101604,122.175240641711,82.4413012477717,119.175240641711
4,4,122.122385026738,122.22722459893,82.783203208556,118.22722459893
5,5,122.200754010695,122.228711229947,83.143155080214,117.228711229947
6,6,122.178016042781,122.138048128342,83.438688057041,116.178016042781
7,7,122.232481283422,122.162754010695,83.7984117647057,115.232481283422
8,8,122.122385026738,122.201363636364,84.107916221034,114.201363636364
9,9,122.201363636364,122.112390374332,84.4379180035653,113.201363636364
10,10,122.183631016043,122.137759358289,84.773796791444,112.183631016043
