"Item","sample_id","sample_1","sample_2","average","range"
1,1,-0.991754716981132,-1.01176729559748,-0.334507337526204,2.01176729559748
2,2,-0.998603773584906,-1.0100251572327,-0.00287631027253532,3.0100251572327
3,3,-0.998880503144654,-0.965672955974843,0.345148846960168,3.99888050314465
4,4,-1.04284905660377,-1.00983647798742,0.649104821802937,5.04284905660377
5,5,-1.01752830188679,-1.0376855345912,0.98159538784067,6.0376855345912
6,6,-0.930578616352201,-1.00358490566038,1.35527882599581,7.00358490566038
7,7,-1.00084905660377,-0.942981132075472,1.68538993710692,8.00084905660377
8,8,-1.01408805031447,-0.980289308176101,2.00187421383648,9.01408805031447
9,9,-1.03841509433962,-0.996559748427673,2.3216750524109,10.0384150943396
10,10,-0.960861635220126,-0.986333333333333,2.68426834381551,10.9863333333333
