"Item","sample_id","sample_1","sample_2","average","range"
1,1,135.981806629834,135.979522222222,90.987109617352,134.981806629834
2,2,135.892838888889,135.991635359116,91.294824749335,133.991635359116
3,3,135.987622222222,135.974662983425,91.654095068549,132.987622222222
4,4,136.025657458564,135.967644444444,91.9977673010027,132.025657458564
5,5,136.04,136.007363636364,92.3491212121213,131.04
6,6,135.976022099448,136.055281767956,92.6771012891347,130.055281767956
7,7,135.987622222222,135.949480662983,92.9790342950683,128.987622222222
8,8,135.974994444444,136.025805555556,93.3336,128.025805555556
9,9,135.965865168539,135.953394444444,93.6397532043277,126.965865168539
10,10,135.978788888889,135.894745856354,93.957844915081,125.978788888889
