"Item","sample_id","sample_1","sample_2","average","range"
1,1,80.4684147727273,80.4335340909091,53.9673162878788,79.4684147727273
2,2,80.4999147727273,80.4491590909091,54.3163579545455,78.4999147727273
3,3,80.4856022727273,80.3330852272727,54.6062291666667,77.4856022727273
4,4,80.5102840909091,80.4821931818182,54.9974924242424,76.5102840909091
5,5,80.3532272727273,80.3335056818182,55.2289109848485,75.3532272727273
6,6,80.3082670454545,80.5082272727273,55.6054981060606,74.5082272727273
7,7,80.3444488636364,80.4049318181818,55.9164602272727,73.4049318181818
8,8,80.3753636363636,80.3603181818182,56.2452272727273,72.3753636363636
9,9,80.3933693181818,80.3155795454545,56.5696496212121,71.3933693181818
10,10,80.4615965909091,80.3256647727273,56.9290871212121,70.4615965909091
