"","Item","sample_id","sample_1","sample_2","average","range"
"1",1,1,0.0509433962264151,0.0188679245283019,0.356603773584906,0.981132075471698
"2",2,2,0.0377358490566038,0.0509433962264151,0.69622641509434,1.9622641509434
"3",3,3,0.0377358490566038,0.0528301886792453,1.03018867924528,2.9622641509434
"4",4,4,0.00566037735849057,0.0433962264150943,1.34968553459119,3.99433962264151
"5",5,5,0.0471698113207547,0.0150943396226415,1.6874213836478,4.98490566037736
"6",6,6,0.0716981132075472,0.0132075471698113,2.02830188679245,5.98679245283019
"7",7,7,0.0113207547169811,0.0377358490566038,2.34968553459119,6.98867924528302
"8",8,8,0.0679245283018868,0.0169811320754717,2.69496855345912,7.98301886792453
"9",9,9,-0.0245283018867924,0.0886792452830189,3.02138364779874,9.02452830188679
"10",10,10,0.0716981132075472,0.0188679245283019,3.36352201257862,9.9811320754717
