"Pollutant","Level","Items","Replicates","sigma_pt","u_xpt","ss","sw","c_criterion","c_criterion_expanded","Meets_Criterion","Meets_Expanded","Conclusion"
"co","0-ppm",10,3,0.0033,0.0013,2.9503,4.4032,0.001,4.4252,"No","Yes","ss (2.9503) > c_criterion (0.0010): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (2.9503) <= c_expanded (4.4252): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"co","120-ppb",10,3,0.0391,0.0154,58.3612,82.5475,0.0117,82.9592,"No","Yes","ss (58.3612) > c_criterion (0.0117): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (58.3612) <= c_expanded (82.9592): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"co","180-ppb",10,3,0.0617,0.0244,88.4938,125.1573,0.0185,125.7816,"No","Yes","ss (88.4938) > c_criterion (0.0185): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (88.4938) <= c_expanded (125.7816): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"co","2-ppm",10,3,0.0083,0.0033,2.0449,3.2264,0.0025,3.2425,"No","Yes","ss (2.0449) > c_criterion (0.0025): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (2.0449) <= c_expanded (3.2425): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"co","4-ppm",10,3,0.003,0.0012,1.2685,2.3141,9e-04,2.3256,"No","Yes","ss (1.2685) > c_criterion (0.0009): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (1.2685) <= c_expanded (2.3256): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"co","40-ppb",10,3,0.0466,0.0184,17.3796,24.6208,0.014,24.7436,"No","Yes","ss (17.3796) > c_criterion (0.0140): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (17.3796) <= c_expanded (24.7436): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"co","6-ppm",10,3,0.0082,0.0032,1.0626,2.0857,0.0025,2.0961,"No","Yes","ss (1.0626) > c_criterion (0.0025): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (1.0626) <= c_expanded (2.0961): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"co","8-ppm",10,3,0.0247,0.0098,1.6263,2.7128,0.0074,2.7263,"No","Yes","ss (1.6263) > c_criterion (0.0074): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (1.6263) <= c_expanded (2.7263): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"co","80-ppb",10,3,0.0649,0.0257,38.064,53.8497,0.0195,54.1183,"No","Yes","ss (38.0640) > c_criterion (0.0195): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (38.0640) <= c_expanded (54.1183): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"no2","0-ppb",10,3,0.0236,0.0093,3.4122,5.0337,0.0071,5.0588,"No","Yes","ss (3.4122) > c_criterion (0.0071): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (3.4122) <= c_expanded (5.0588): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"no2","180-ppb",10,3,1.2631,0.4993,48.4163,68.495,0.3789,68.8386,"No","Yes","ss (48.4163) > c_criterion (0.3789): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (48.4163) <= c_expanded (68.8386): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"o3","0",10,3,0.9987,0.3948,45.1472,63.8566,0.2996,64.1764,"No","Yes","ss (45.1472) > c_criterion (0.2996): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (45.1472) <= c_expanded (64.1764): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"o3","0-ppb",10,3,0.0162,0.0064,2.9713,4.4376,0.0049,4.4597,"No","Yes","ss (2.9713) > c_criterion (0.0049): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (2.9713) <= c_expanded (4.4597): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"o3","135-ppb",10,3,0.0109,0.0043,65.2601,92.3027,0.0033,92.763,"No","Yes","ss (65.2601) > c_criterion (0.0033): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (65.2601) <= c_expanded (92.7630): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"o3","180-ppb",10,3,0.0251,0.0099,87.4758,123.7178,0.0075,124.3348,"No","Yes","ss (87.4758) > c_criterion (0.0075): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (87.4758) <= c_expanded (124.3348): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"o3","45-ppb",10,3,0.0362,0.0143,19.6916,27.8847,0.0109,28.0238,"No","Yes","ss (19.6916) > c_criterion (0.0109): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (19.6916) <= c_expanded (28.0238): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"o3","90-ppb",10,3,0.0356,0.0141,42.4938,60.1119,0.0107,60.4117,"No","Yes","ss (42.4938) > c_criterion (0.0107): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (42.4938) <= c_expanded (60.4117): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"so2","0-ppb",10,3,0.0213,0.0084,2.9549,4.4138,0.0064,4.4358,"No","Yes","ss (2.9549) > c_criterion (0.0064): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (2.9549) <= c_expanded (4.4358): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"so2","100-ppb",10,3,0.0583,0.023,47.2983,66.9048,0.0175,67.2385,"No","Yes","ss (47.2983) > c_criterion (0.0175): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (47.2983) <= c_expanded (67.2385): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"so2","120-ppb",10,3,0.5624,0.2223,57.7227,81.6434,0.1687,82.051,"No","Yes","ss (57.7227) > c_criterion (0.1687): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (57.7227) <= c_expanded (82.0510): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"so2","140-ppb",10,3,0.0375,0.0148,67.0655,94.8558,0.0112,95.3289,"No","Yes","ss (67.0655) > c_criterion (0.0112): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (67.0655) <= c_expanded (95.3289): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"so2","180-ppb",10,3,0.3193,0.1262,87.7713,124.1353,0.0958,124.7545,"No","Yes","ss (87.7713) > c_criterion (0.0958): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (87.7713) <= c_expanded (124.7545): CUMPLE CRITERIO EXP HOMOGENEIDAD"
"so2","20-ppb",10,3,0.0201,0.0079,7.1915,10.271,0.006,10.3222,"No","Yes","ss (7.1915) > c_criterion (0.0060): NO CUMPLE CRITERIO HOMOGENEIDAD
ss (7.1915) <= c_expanded (10.3222): CUMPLE CRITERIO EXP HOMOGENEIDAD"
