"Parametro","Valor"
"Media general","1.84529"
"DE de medias","0.99494"
"Varianza de las medias (s_x_bar_sq)","0.98991"
"sw","4.40319"
"Varianza dentro de la muestra (s_w_sq)","19.38810"
"ss","2.95028"
"---",""
"Valor asignado (xpt)","-0.04940"
"Mediana de diferencias absolutas","0.00225"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.00334"
"nIQR","0.05979"
"Incertidumbre del valor asignado (u_xpt)","0.00132"
"---",""
"Criterio c","0.00100"
"Criterio c (expandido)","4.42515"
