"Parametro","Valor"
"Media general","123.46292"
"DE de medias","1.01525"
"Varianza de las medias (s_x_bar_sq)","1.03073"
"sw","125.15733"
"Varianza dentro de la muestra (s_w_sq)","15664.35827"
"ss","88.49378"
"---",""
"Valor asignado (xpt)","182.43761"
"Mediana de diferencias absolutas","0.04159"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.06168"
"nIQR","0.06295"
"Incertidumbre del valor asignado (u_xpt)","0.02438"
"---",""
"Criterio c","0.01850"
"Criterio c (expandido)","125.78157"
