"Parametro","Valor"
"Media general","69.38563"
"DE de medias","1.28330"
"Varianza de las medias (s_x_bar_sq)","1.64686"
"sw","68.49502"
"Varianza dentro de la muestra (s_w_sq)","4691.56829"
"ss","48.41629"
"---",""
"Valor asignado (xpt)","101.44055"
"Mediana de diferencias absolutas","0.85173"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","1.26312"
"nIQR","0.95020"
"Incertidumbre del valor asignado (u_xpt)","0.49929"
"---",""
"Criterio c","0.37894"
"Criterio c (expandido)","68.83861"
