"Parametro","Valor"
"Media general","65.20061"
"DE de medias","0.75204"
"Varianza de las medias (s_x_bar_sq)","0.56556"
"sw","63.85659"
"Varianza dentro de la muestra (s_w_sq)","4077.66415"
"ss","45.14717"
"---",""
"Valor asignado (xpt)","94.73960"
"Mediana de diferencias absolutas","0.67340"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.99866"
"nIQR","0.85677"
"Incertidumbre del valor asignado (u_xpt)","0.39475"
"---",""
"Criterio c","0.29960"
"Criterio c (expandido)","64.17639"
