"Parametro","Valor"
"Media general","62.12892"
"DE de medias","0.99693"
"Varianza de las medias (s_x_bar_sq)","0.99387"
"sw","60.11187"
"Varianza dentro de la muestra (s_w_sq)","3613.43660"
"ss","42.49382"
"---",""
"Valor asignado (xpt)","90.43995"
"Mediana de diferencias absolutas","0.02401"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.03561"
"nIQR","0.03732"
"Incertidumbre del valor asignado (u_xpt)","0.01408"
"---",""
"Criterio c","0.01068"
"Criterio c (expandido)","60.41168"
