"Parametro","Valor"
"Media general","14.97745"
"DE de medias","1.01444"
"Varianza de las medias (s_x_bar_sq)","1.02909"
"sw","10.27102"
"Varianza dentro de la muestra (s_w_sq)","105.49383"
"ss","7.19151"
"---",""
"Valor asignado (xpt)","19.72647"
"Mediana de diferencias absolutas","0.01353"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.02006"
"nIQR","0.02028"
"Incertidumbre del valor asignado (u_xpt)","0.00793"
"---",""
"Criterio c","0.00602"
"Criterio c (expandido)","10.32225"
