"","pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value","n_lab"
"1","co","8-ppm","part_1",2,"1-10",8.00200202472293,0.0501708082954873,7
"2","co","8-ppm","part_1",2,"11-20",8.05106786018755,0.058295153909824,7
"3","co","8-ppm","part_1",2,"21-30",8.03645353793691,0.0639738709694932,7
"4","co","8-ppm","part_2",3,"1-10",8.06205509377664,0.0528118455826933,7
"5","co","8-ppm","part_2",3,"11-20",8.04814961636829,0.061915453873836,7
"6","co","8-ppm","part_2",3,"21-30",8.0356281543052,0.0647354839666519,7
"7","co","8-ppm","part_3",4,"1-10",8.05431551577153,0.0606524090426351,7
"8","co","8-ppm","part_3",4,"11-20",8.07950008525149,0.0477314524539253,7
"9","co","8-ppm","part_3",4,"21-30",8.01550622335891,0.0532730604088557,7
"10","co","8-ppm","part_4",5,"1-10",8.0277844629156,0.0620119459141407,7
"11","co","8-ppm","part_4",5,"11-20",8.0490868286445,0.0599300502933731,7
"12","co","8-ppm","part_4",5,"21-30",8.05034857203751,0.0595939643059868,7
"13","co","8-ppm","part_5",6,"1-10",8.0420418797954,0.0594212113086356,7
"14","co","8-ppm","part_5",6,"11-20",8.06633301364024,0.0536379473148815,7
"15","co","8-ppm","part_5",6,"21-30",8.05253463341858,0.0617979804742605,7
"16","co","8-ppm","part_6",7,"1-10",8.03838054134697,0.0626129362303564,7
"17","co","8-ppm","part_6",7,"11-20",8.06069047314578,0.061029581798966,7
"18","co","8-ppm","part_6",7,"21-30",8.04963071184996,0.0630850694386056,7
"19","co","8-ppm","ref",1,"1-10",8.04096747655584,0.0663070219153018,7
"20","co","8-ppm","ref",1,"11-20",8.0424675831202,0.0664701196213889,7
"21","co","8-ppm","ref",1,"21-30",8.05443878942881,0.0596048547748828,7
