"","pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value","n_lab"
"1","no2","60-ppb","part_1",2,"1-10",64.9379010989011,0.351634937358612,7
"2","no2","60-ppb","part_1",2,"11-20",64.9980989010989,0.253378666892114,7
"3","no2","60-ppb","part_1",2,"21-30",64.9776483516484,0.226559558290422,7
"4","no2","60-ppb","part_2",3,"1-10",64.9646373626374,0.332280565107865,7
"5","no2","60-ppb","part_2",3,"11-20",64.9336483516483,0.275620226297153,7
"6","no2","60-ppb","part_2",3,"21-30",65.1778351648352,0.148538832300708,7
"7","no2","60-ppb","part_3",4,"1-10",64.9696703296703,0.296800653316849,7
"8","no2","60-ppb","part_3",4,"11-20",64.9996483516483,0.265961611707723,7
"9","no2","60-ppb","part_3",4,"21-30",64.9761648351648,0.235377634996122,7
"10","no2","60-ppb","part_4",5,"1-10",64.9796153846154,0.26943140838145,7
"11","no2","60-ppb","part_4",5,"11-20",64.9043406593407,0.282135205867373,7
"12","no2","60-ppb","part_4",5,"21-30",64.810021978022,0.285346395063926,7
"13","no2","60-ppb","part_5",6,"1-10",64.9935494505494,0.375865205830352,7
"14","no2","60-ppb","part_5",6,"11-20",65.0001648351648,0.308812830836076,7
"15","no2","60-ppb","part_5",6,"21-30",64.9494615384615,0.508184725572758,7
"16","no2","60-ppb","part_6",7,"1-10",64.9484065934066,0.256040420094342,7
"17","no2","60-ppb","part_6",7,"11-20",64.9221428571428,0.290733208771204,7
"18","no2","60-ppb","part_6",7,"21-30",65.0534725274725,0.194467868852404,7
"19","no2","60-ppb","ref",1,"1-10",65.1283076923077,0.230921539365158,7
"20","no2","60-ppb","ref",1,"11-20",64.9735384615385,0.326697975263115,7
"21","no2","60-ppb","ref",1,"21-30",64.9454175824176,0.306725062869765,7
