"","pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value","n_lab"
"1","no","122-ppb","part_1",2,"1-10",40.7251511627907,0.0417471567972647,7
"2","no","122-ppb","part_1",2,"11-20",40.7219534883721,0.0357459672162428,7
"3","no","122-ppb","part_1",2,"21-30",40.7153372093023,0.0639127765648718,7
"4","no","122-ppb","part_2",3,"1-10",40.7561279069768,0.0466845960175208,7
"5","no","122-ppb","part_2",3,"11-20",40.716,0.0413195819690409,7
"6","no","122-ppb","part_2",3,"21-30",40.7329302325581,0.0601381739325845,7
"7","no","122-ppb","part_3",4,"1-10",40.7314302325581,0.0661381395292305,7
"8","no","122-ppb","part_3",4,"11-20",40.7121860465116,0.0489263920541044,7
"9","no","122-ppb","part_3",4,"21-30",40.7432906976744,0.0441196989299092,7
"10","no","122-ppb","part_4",5,"1-10",40.7277441860465,0.0424959727251242,7
"11","no","122-ppb","part_4",5,"11-20",40.7320348837209,0.0348571065570797,7
"12","no","122-ppb","part_4",5,"21-30",40.7238488372093,0.0588599411204962,7
"13","no","122-ppb","part_5",6,"1-10",40.7255465116279,0.055757563298895,7
"14","no","122-ppb","part_5",6,"11-20",40.7589186046512,0.0652110801694157,7
"15","no","122-ppb","part_5",6,"21-30",40.7474418604651,0.0712658851951181,7
"16","no","122-ppb","part_6",7,"1-10",40.7331279069767,0.0623008081140482,7
"17","no","122-ppb","part_6",7,"11-20",40.7303023255814,0.051737150757104,7
"18","no","122-ppb","part_6",7,"21-30",40.7307790697674,0.0550139984152531,7
"19","no","122-ppb","ref",1,"1-10",40.744976744186,0.0432479571092442,7
"20","no","122-ppb","ref",1,"11-20",40.7365697674419,0.0380571307590455,7
"21","no","122-ppb","ref",1,"21-30",40.7427441860465,0.0660902655595318,7
