"","pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value","n_lab"
"1","o3","0-ppb","part_1",2,"1-10",4.19354838709677e-05,2.65571807209215e-05,7
"2","o3","0-ppb","part_1",2,"11-20",5.16129032258058e-05,3.78641222831363e-05,7
"3","o3","0-ppb","part_1",2,"21-30",3.54838709677419e-05,2.82450011539004e-05,7
"4","o3","0-ppb","part_2",3,"1-10",3.22580645161284e-05,4.02328751265999e-05,7
"5","o3","0-ppb","part_2",3,"11-20",2.58064516129032e-05,2.0401791355925e-05,7
"6","o3","0-ppb","part_2",3,"21-30",2.25806451612903e-05,2.17725341196953e-05,7
"7","o3","0-ppb","part_3",4,"1-10",3.87096774193548e-05,3.66223362708095e-05,7
"8","o3","0-ppb","part_3",4,"11-20",4.516129032258e-05,3.78641222831362e-05,7
"9","o3","0-ppb","part_3",4,"21-30",4.83870967741935e-05,3.13492037357274e-05,7
"10","o3","0-ppb","part_4",5,"1-10",3.54838709677419e-05,3.55001591811165e-05,7
"11","o3","0-ppb","part_4",5,"11-20",3.87096774193542e-05,4.24697153938297e-05,7
"12","o3","0-ppb","part_4",5,"21-30",3.2258064516129e-05,3.0413194889744e-05,7
"13","o3","0-ppb","part_5",6,"1-10",4.83870967741936e-05,3.13492037357274e-05,7
"14","o3","0-ppb","part_5",6,"11-20",3.87096774193548e-05,3.66223362708095e-05,7
"15","o3","0-ppb","part_5",6,"21-30",3.54838709677419e-05,3.2078352451992e-05,7
"16","o3","0-ppb","part_6",7,"1-10",2.90322580645161e-05,2.82450011539004e-05,7
"17","o3","0-ppb","part_6",7,"11-20",3.2258064516129e-05,2.63385993847654e-05,7
"18","o3","0-ppb","part_6",7,"21-30",1.61290322580645e-05,2.2809896167308e-05,7
"19","o3","0-ppb","ref",1,"1-10",2.58064516129032e-05,3.33159857738272e-05,7
"20","o3","0-ppb","ref",1,"11-20",2.90322580645161e-05,2.82450011539004e-05,7
"21","o3","0-ppb","ref",1,"21-30",4.8387096774193e-05,4.62490605754966e-05,7
