"","pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value","n_lab"
"1","so2","60-ppb","part_1",2,"1-10",59.8935483870968,0.0353623784499465,7
"2","so2","60-ppb","part_1",2,"11-20",59.9018279569893,0.0313453104555948,7
"3","so2","60-ppb","part_1",2,"21-30",59.9181720430108,0.030554162824726,7
"4","so2","60-ppb","part_2",3,"1-10",59.8823655913979,0.0425458748011701,7
"5","so2","60-ppb","part_2",3,"11-20",59.9047311827957,0.0339886257449157,7
"6","so2","60-ppb","part_2",3,"21-30",59.8843010752688,0.0363236494612176,7
"7","so2","60-ppb","part_3",4,"1-10",59.8786021505376,0.0447654323892864,7
"8","so2","60-ppb","part_3",4,"11-20",59.9034408602151,0.0345977477516123,7
"9","so2","60-ppb","part_3",4,"21-30",59.8925806451613,0.0382907438083203,7
"10","so2","60-ppb","part_4",5,"1-10",59.8739784946237,0.0400177245194654,7
"11","so2","60-ppb","part_4",5,"11-20",59.9017204301075,0.0339545913532892,7
"12","so2","60-ppb","part_4",5,"21-30",59.8944086021506,0.0268065855599082,7
"13","so2","60-ppb","part_5",6,"1-10",59.8901075268817,0.0363257714382711,7
"14","so2","60-ppb","part_5",6,"11-20",59.8881720430108,0.0279799556434222,7
"15","so2","60-ppb","part_5",6,"21-30",59.8854838709677,0.0380848618245818,7
"16","so2","60-ppb","part_6",7,"1-10",59.9065591397849,0.0355524119896106,7
"17","so2","60-ppb","part_6",7,"11-20",59.8840860215054,0.0488844740961778,7
"18","so2","60-ppb","part_6",7,"21-30",59.8948387096774,0.0383086890708784,7
"19","so2","60-ppb","ref",1,"1-10",59.9060215053763,0.0279533128728768,7
"20","so2","60-ppb","ref",1,"11-20",59.883440860215,0.058560648660709,7
"21","so2","60-ppb","ref",1,"21-30",59.897311827957,0.0401377684265002,7
