"Score","Criteria","co","no2","o3","so2"
"z-score","Satisfactory",41,12,35,54
"z-score","Questionable",2,0,1,0
"z-score","Unsatisfactory",11,0,0,0
"z-score","N/A",0,0,0,0
"z'-score","Satisfactory",42,12,35,54
"z'-score","Questionable",2,0,1,0
"z'-score","Unsatisfactory",10,0,0,0
"z'-score","N/A",0,0,0,0
"zeta-score","Satisfactory",54,12,36,54
"zeta-score","Questionable",0,0,0,0
"zeta-score","Unsatisfactory",0,0,0,0
"zeta-score","N/A",0,0,0,0
"En-score","Satisfactory",54,12,36,54
"En-score","Questionable",0,0,0,0
"En-score","Unsatisfactory",0,0,0,0
"En-score","N/A",0,0,0,0
