"Combinación","Participant","Result","u(xi)","z-score","z-score Eval","z'-score","z'-score Eval","zeta-score","zeta-score Eval","En-score","En-score Eval","Classification z+En","Classification z+En Code","Classification z'+En","Classification z'+En Code"
"Referencia (1)","part_1",3.92145511583011,0.124921724701972,-5.59071232874401,"Unsatisfactory",-5.19925685689961,"Unsatisfactory",-0.132733698369915,"Satisfactory",-0.0663668491849573,"Satisfactory","Z Unsatisfactory & En ≤ 1","unsat_en_good","Z Unsatisfactory & En ≤ 1","unsat_en_good"
"Referencia (1)","part_2",3.92900091162591,0.123922250408888,-3.04661394850265,"Unsatisfactory",-2.83329342141933,"Questionable",-0.0729154978883463,"Satisfactory",-0.0364577489441731,"Satisfactory","Z Unsatisfactory & En ≤ 1","unsat_en_good","Z Questionable & En ≤ 1","ques_en_good"
"Referencia (1)","part_3",3.92125850922351,0.120748874929391,-5.65699911451726,"Unsatisfactory",-5.26090231550807,"Unsatisfactory",-0.138948445988208,"Satisfactory",-0.0694742229941042,"Satisfactory","Z Unsatisfactory & En ≤ 1","unsat_en_good","Z Unsatisfactory & En ≤ 1","unsat_en_good"
"Referencia (1)","part_4",3.90446453667953,0.128390184315282,-11.3191611320408,"Unsatisfactory",-10.5266060332845,"Unsatisfactory",-0.261478184042138,"Satisfactory",-0.130739092021069,"Satisfactory","Z Unsatisfactory & En ≤ 1","unsat_en_good","Z Unsatisfactory & En ≤ 1","unsat_en_good"
"Referencia (1)","part_5",3.91307073144573,0.121331026597808,-8.41754455544072,"Unsatisfactory",-7.82815742872701,"Unsatisfactory",-0.205761645185729,"Satisfactory",-0.102880822592864,"Satisfactory","Z Unsatisfactory & En ≤ 1","unsat_en_good","Z Unsatisfactory & En ≤ 1","unsat_en_good"
"Referencia (1)","part_6",3.89618214285714,0.122953260202879,-14.1116067902973,"Unsatisfactory",-13.1235277460265,"Unsatisfactory",-0.340398643934919,"Satisfactory",-0.17019932196746,"Satisfactory","Z Unsatisfactory & En ≤ 1","unsat_en_good","Z Unsatisfactory & En ≤ 1","unsat_en_good"
"Consenso MADe (2a)","part_1",3.92145511583011,0.124921724701972,0.358796708944073,"Satisfactory",0.319588675746497,"Satisfactory",0.0343045664130849,"Satisfactory",0.0171522832065425,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_2",3.92900091162591,0.123922250408888,0.989820957947364,"Satisfactory",0.881656830430504,"Satisfactory",0.0953982563557192,"Satisfactory",0.0476991281778596,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_3",3.92125850922351,0.120748874929391,0.342355297111784,"Satisfactory",0.30494392315011,"Satisfactory",0.033860944804547,"Satisfactory",0.0169304724022735,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_4",3.90446453667953,0.128390184315282,-1.06205640433499,"Satisfactory",-0.945998643154817,"Satisfactory",-0.0988063301650806,"Satisfactory",-0.0494031650825403,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_5",3.91307073144573,0.121331026597808,-0.342355297111747,"Satisfactory",-0.304943923150077,"Satisfactory",-0.033698889398749,"Satisfactory",-0.0168494446993745,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_6",3.89618214285714,0.122953260202879,-1.75467935400907,"Satisfactory",-1.56293421073404,"Satisfactory",-0.170444302585754,"Satisfactory",-0.0852221512928772,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_1",3.92145511583011,0.124921724701972,0.391335128972439,"Satisfactory",0.348571412512262,"Satisfactory",0.0343110760636398,"Satisfactory",0.0171555380318199,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_2",3.92900091162591,0.123922250408888,1.07958546603707,"Satisfactory",0.961612191096584,"Satisfactory",0.0954166517369192,"Satisfactory",0.0477083258684596,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_3",3.92125850922351,0.120748874929391,0.373402684611918,"Satisfactory",0.332598562139853,"Satisfactory",0.0338678210370964,"Satisfactory",0.0169339105185482,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_4",3.90446453667953,0.128390184315282,-1.15837177322388,"Satisfactory",-1.03178900976053,"Satisfactory",-0.0988240823307734,"Satisfactory",-0.0494120411653867,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_5",3.91307073144573,0.121331026597808,-0.373402684611877,"Satisfactory",-0.332598562139817,"Satisfactory",-0.0337056673562541,"Satisfactory",-0.0168528336781271,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_6",3.89618214285714,0.122953260202879,-1.91380705059212,"Satisfactory",-1.70467299639692,"Satisfactory",-0.170477687840024,"Satisfactory",-0.085238843920012,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_1",3.92145511583011,0.124921724701972,0.594565809859761,"Satisfactory",0.529593764604021,"Satisfactory",0.050496629239828,"Satisfactory",0.025248314619914,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_2",3.92900091162591,0.123922250408888,1.30511858686861,"Satisfactory",1.16249985150921,"Satisfactory",0.111736356544807,"Satisfactory",0.0558681782724034,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_3",3.92125850922351,0.120748874929391,0.576052272774885,"Satisfactory",0.513103321261461,"Satisfactory",0.0506116566331181,"Satisfactory",0.0253058283165591,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_4",3.90446453667953,0.128390184315282,-1.00535864146959,"Satisfactory",-0.895496610944798,"Satisfactory",-0.0830828457678913,"Satisfactory",-0.0415414228839457,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_5",3.91307073144573,0.121331026597808,-0.194952985646446,"Satisfactory",-0.173649214060337,"Satisfactory",-0.0170464499907714,"Satisfactory",-0.00852322499538572,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_6",3.89618214285714,0.122953260202879,-1.78527345629378,"Satisfactory",-1.59018509791079,"Satisfactory",-0.154046545248117,"Satisfactory",-0.0770232726240586,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
