"Combinación","Participant","Result","u(xi)","z-score","z-score Eval","z'-score","z'-score Eval","zeta-score","zeta-score Eval","En-score","En-score Eval","Classification z+En","Classification z+En Code","Classification z'+En","Classification z'+En Code"
"Referencia (1)","part_1",40.181195716946,0.0264557845238503,0.342969630505064,"Satisfactory",0.318955277656431,"Satisfactory",0.495501987857549,"Satisfactory",0.247750993928775,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_2",40.1779932960894,0.0284855484227775,0.274190929385638,"Satisfactory",0.254992384848429,"Satisfactory",0.376440908246735,"Satisfactory",0.188220454123368,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_3",40.1695841713222,0.0304133590289264,0.0935873469904457,"Satisfactory",0.0870344648315024,"Satisfactory",0.122579296178098,"Satisfactory",0.0612896480890488,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_4",40.1731746741154,0.0334860611767772,0.170700921234694,"Satisfactory",0.158748632199423,"Satisfactory",0.208005692379153,"Satisfactory",0.104002846189577,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_5",40.1712450651769,0.0376601687756873,0.129258524247715,"Satisfactory",0.12020798585046,"Satisfactory",0.143580022264392,"Satisfactory",0.0717900111321961,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_6",40.1675070763501,0.0306607859981083,0.0489773782582554,"Satisfactory",0.0455480365950805,"Satisfactory",0.0637696883990806,"Satisfactory",0.0318848441995403,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_1",40.181195716946,0.0264557845238503,1.65361073583652,"Satisfactory",1.47291001308643,"Satisfactory",0.337804635339305,"Satisfactory",0.168902317669652,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_2",40.1779932960894,0.0284855484227775,1.06428873508665,"Satisfactory",0.947987032710705,"Satisfactory",0.202074920166984,"Satisfactory",0.101037460083492,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_3",40.1695841713222,0.0304133590289264,-0.483191266533584,"Satisfactory",-0.430389836791428,"Satisfactory",-0.0859770650727197,"Satisfactory",-0.0429885325363598,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_4",40.1731746741154,0.0334860611767772,0.177547088784939,"Satisfactory",0.158145371941717,"Satisfactory",0.02871383139194,"Satisfactory",0.01435691569597,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_5",40.1712450651769,0.0376601687756873,-0.177547088783631,"Satisfactory",-0.158145371940552,"Satisfactory",-0.0255495269011711,"Satisfactory",-0.0127747634505855,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_6",40.1675070763501,0.0306607859981083,-0.865426400357853,"Satisfactory",-0.770855669385574,"Satisfactory",-0.152757860106698,"Satisfactory",-0.0763789300533489,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_1",40.181195716946,0.0264557845238503,1.78543276804793,"Satisfactory",1.59032700064087,"Satisfactory",0.338065978692811,"Satisfactory",0.169032989346406,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_2",40.1779932960894,0.0284855484227775,1.14913137723838,"Satisfactory",1.02355837151117,"Satisfactory",0.202209950364421,"Satisfactory",0.10110497518221,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_3",40.1695841713222,0.0304133590289264,-0.521710159354537,"Satisfactory",-0.464699521470805,"Satisfactory",-0.0860275160145103,"Satisfactory",-0.0430137580072552,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_4",40.1731746741154,0.0334860611767772,0.191700733019119,"Satisfactory",0.170752356077945,"Satisfactory",0.0287277481931237,"Satisfactory",0.0143638740965618,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_5",40.1712450651769,0.0376601687756873,-0.191700733017707,"Satisfactory",-0.170752356076687,"Satisfactory",-0.0255593296712015,"Satisfactory",-0.0127796648356008,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_6",40.1675070763501,0.0306607859981083,-0.93441619605295,"Satisfactory",-0.832306504626246,"Satisfactory",-0.152846067280062,"Satisfactory",-0.0764230336400311,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_1",40.181195716946,0.0264557845238503,1.76310722012684,"Satisfactory",1.57044110950097,"Satisfactory",0.303926384642702,"Satisfactory",0.151963192321351,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_2",40.1779932960894,0.0284855484227775,1.06361774373782,"Satisfactory",0.947389364919262,"Satisfactory",0.170373629598611,"Satisfactory",0.0851868147993054,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_3",40.1695841713222,0.0304133590289264,-0.773147173707141,"Satisfactory",-0.688660389693617,"Satisfactory",-0.116042575324891,"Satisfactory",-0.0580212876624457,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_4",40.1731746741154,0.0334860611767772,0.0111091846229589,"Satisfactory",0.0098952122853172,"Satisfactory",0.00151516827322268,"Satisfactory",0.000757584136611339,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
