"Combinación","Participant","Result","u(xi)","z-score","z-score Eval","z'-score","z'-score Eval","zeta-score","zeta-score Eval","En-score","En-score Eval","Classification z+En","Classification z+En Code","Classification z'+En","Classification z'+En Code"
"Referencia (1)","part_1",0.151269146661602,0.158720539183692,0.43452317679563,"Satisfactory",0.404098346255641,"Satisfactory",0.155921970019891,"Satisfactory",0.0779609850099453,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Referencia (1)","part_2",0.179582163225747,0.160820666078783,0.926614026611843,"Satisfactory",0.861733540964234,"Satisfactory",0.328244833001862,"Satisfactory",0.164122416500931,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Referencia (1)","part_3",0.087078856241142,0.16982139769703,-0.681128152386834,"Satisfactory",-0.633436315175278,"Satisfactory",-0.228726831046081,"Satisfactory",-0.11436341552304,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Referencia (1)","part_4",0.074525822728092,0.143071710078859,-0.899304584248598,"Satisfactory",-0.836336275443133,"Satisfactory",-0.357169942380443,"Satisfactory",-0.178584971190222,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Referencia (1)","part_5",0.108596574665284,0.176768852118833,-0.30714213357275,"Satisfactory",-0.285636382292567,"Satisfactory",-0.0991538050601695,"Satisfactory",-0.0495769025300847,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Referencia (1)","part_6",0.119554906172226,0.158636205079479,-0.116682220846665,"Satisfactory",-0.108512261254478,"Satisfactory",-0.0418914338642043,"Satisfactory",-0.0209457169321021,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_1",0.151269146661602,0.158720539183692,0.781421682662861,"Satisfactory",0.696030689625836,"Satisfactory",0.231636045047523,"Satisfactory",0.115818022523762,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_2",0.179582163225747,0.160820666078783,1.37626919139489,"Satisfactory",1.22587537004737,"Satisfactory",0.402758127576789,"Satisfactory",0.201379063788395,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_3",0.087078856241142,0.16982139769703,-0.567195984228575,"Satisfactory",-0.505214816551165,"Satisfactory",-0.157370689526045,"Satisfactory",-0.0786853447630224,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_4",0.074525822728092,0.143071710078859,-0.830931241662208,"Satisfactory",-0.740130019421698,"Satisfactory",-0.272534646710005,"Satisfactory",-0.136267323355002,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
