"Combinación","Participant","Result","u(xi)","z-score","z-score Eval","z'-score","z'-score Eval","zeta-score","zeta-score Eval","En-score","En-score Eval"
"Referencia (1)","part_1",40.7208139534884,0.0471353001927931,-0.614678437890606,"Satisfactory",-0.571639335932179,"Satisfactory",-0.421046818173425,"Satisfactory",-0.210523409086713,"Satisfactory"
"Referencia (1)","part_2",40.735019379845,0.0493807839730487,-0.191140841562212,"Satisfactory",-0.177757371992909,"Satisfactory",-0.125384471697648,"Satisfactory",-0.0626922358488241,"Satisfactory"
"Referencia (1)","part_3",40.728968992248,0.0530614101710814,-0.371534344392304,"Satisfactory",-0.345519921982707,"Satisfactory",-0.227841328994113,"Satisfactory",-0.113920664497056,"Satisfactory"
"Referencia (1)","part_4",40.7278759689922,0.0454043401342334,-0.404123048938565,"Satisfactory",-0.375826801608489,"Satisfactory",-0.286557302435503,"Satisfactory",-0.143278651217751,"Satisfactory"
"Referencia (1)","part_5",40.7439689922481,0.0640781762211429,0.0756936222636182,"Satisfactory",0.0703936388488976,"Satisfactory",0.0387979953344606,"Satisfactory",0.0193989976672303,"Satisfactory"
"Referencia (1)","part_6",40.7314031007752,0.0563506524288018,-0.298960917244962,"Satisfactory",-0.278028005651305,"Satisfactory",-0.17321230989707,"Satisfactory",-0.0866061549485352,"Satisfactory"
"Consenso MADe (2a)","part_1",40.7208139534884,0.0471353001927931,-1.76937467093242,"Satisfactory",-1.57602367548703,"Satisfactory",-0.19850770871118,"Satisfactory",-0.09925385435559,"Satisfactory"
"Consenso MADe (2a)","part_2",40.735019379845,0.0493807839730487,0.912493885307475,"Satisfactory",0.812779786332011,"Satisfactory",0.09773252063688,"Satisfactory",0.04886626031844,"Satisfactory"
"Consenso MADe (2a)","part_3",40.728968992248,0.0530614101710814,-0.229769911776752,"Satisfactory",-0.204661469853582,"Satisfactory",-0.0229070085333489,"Satisfactory",-0.0114535042666745,"Satisfactory"
"Consenso MADe (2a)","part_4",40.7278759689922,0.0454043401342334,-0.436123781583961,"Satisfactory",-0.388465719844991,"Satisfactory",-0.0507879813533204,"Satisfactory",-0.0253939906766602,"Satisfactory"
"Consenso MADe (2a)","part_5",40.7439689922481,0.0640781762211429,2.60210766330315,"Questionable",2.31775855668312,"Questionable",0.214904667455438,"Satisfactory",0.107452333727719,"Satisfactory"
"Consenso MADe (2a)","part_6",40.7314031007752,0.0563506524288018,0.229769911776752,"Satisfactory",0.204661469853582,"Satisfactory",0.0215730686541502,"Satisfactory",0.0107865343270751,"Satisfactory"
"Consenso nIQR (2b)","part_1",40.7208139534884,0.0471353001927931,-2.1191082103727,"Questionable",-1.88753957278384,"Satisfactory",-0.198606306227941,"Satisfactory",-0.0993031531139707,"Satisfactory"
"Consenso nIQR (2b)","part_2",40.735019379845,0.0493807839730487,1.09285688104202,"Satisfactory",0.973433352888161,"Satisfactory",0.0977767593166464,"Satisfactory",0.0488883796583232,"Satisfactory"
"Consenso nIQR (2b)","part_3",40.728968992248,0.0530614101710814,-0.275186095145205,"Satisfactory",-0.245114733605359,"Satisfactory",-0.0229159915914907,"Satisfactory",-0.0114579957957454,"Satisfactory"
"Consenso nIQR (2b)","part_4",40.7278759689922,0.0454043401342334,-0.522327747467038,"Satisfactory",-0.465249621742382,"Satisfactory",-0.0508151621281544,"Satisfactory",-0.0254075810640772,"Satisfactory"
"Consenso nIQR (2b)","part_5",40.7439689922481,0.0640781762211429,3.11643870807397,"Unsatisfactory",2.77588532706896,"Questionable",0.214962492005594,"Satisfactory",0.107481246002797,"Satisfactory"
"Consenso nIQR (2b)","part_6",40.7314031007752,0.0563506524288018,0.275186095145205,"Satisfactory",0.245114733605359,"Satisfactory",0.0215805714989908,"Satisfactory",0.0107902857494954,"Satisfactory"
"Algoritmo A (3)","part_1",40.7208139534884,0.0471353001927931,-1.68931797291295,"Satisfactory",-1.50471528979984,"Satisfactory",-0.200012188675453,"Satisfactory",-0.100006094337726,"Satisfactory"
"Algoritmo A (3)","part_2",40.735019379845,0.0493807839730487,0.851472063411146,"Satisfactory",0.758426212942557,"Satisfactory",0.0962441243335171,"Satisfactory",0.0481220621667586,"Satisfactory"
"Algoritmo A (3)","part_3",40.728968992248,0.0530614101710814,-0.230703447291148,"Satisfactory",-0.205492991914322,"Satisfactory",-0.0242735823680921,"Satisfactory",-0.0121367911840461,"Satisfactory"
"Algoritmo A (3)","part_4",40.7278759689922,0.0454043401342334,-0.42620216222376,"Satisfactory",-0.379628299897859,"Satisfactory",-0.0523778940296692,"Satisfactory",-0.0261889470148346,"Satisfactory"
"Algoritmo A (3)","part_5",40.7439689922481,0.0640781762211429,2.45220444918708,"Questionable",2.18423623472401,"Questionable",0.213747948165736,"Satisfactory",0.106873974082868,"Satisfactory"
"Algoritmo A (3)","part_6",40.7314031007752,0.0563506524288018,0.204662485264434,"Satisfactory",0.18229769395918,"Satisfactory",0.0202800412779874,"Satisfactory",0.0101400206389937,"Satisfactory"
