"Combinación","Participant","Result","u(xi)","z-score","z-score Eval","z'-score","z'-score Eval","zeta-score","zeta-score Eval","En-score","En-score Eval","Classification z+En","Classification z+En Code","Classification z'+En","Classification z'+En Code"
"Referencia (1)","part_1",94.5957901930671,1.74946357039393,-0.0388183157264993,"Satisfactory",-0.0361003003457409,"Satisfactory",-0.0216154401886807,"Satisfactory",-0.0108077200943403,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_2",94.6209965524694,1.14427746490361,-0.0135780388734016,"Satisfactory",-0.0126273196624378,"Satisfactory",-0.011202228190578,"Satisfactory",-0.005601114095289,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_3",94.0936289645782,1.24402384672872,-0.541655247853708,"Satisfactory",-0.503729148609534,"Satisfactory",-0.414454987270007,"Satisfactory",-0.207227493635003,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_4",94.6872705069239,1.10992310360253,0.0527850932189315,"Satisfactory",0.0490891395805854,"Satisfactory",0.0447476441331823,"Satisfactory",0.0223738220665911,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_5",94.3522630408546,1.27041907427991,-0.282673155887507,"Satisfactory",-0.26288069526549,"Satisfactory",-0.212196931235161,"Satisfactory",-0.106098465617581,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_6",94.6961111461414,1.41897313666034,0.061637628321161,"Satisfactory",0.057321830000833,"Satisfactory",0.0417927172628566,"Satisfactory",0.0208963586314283,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_1",94.5957901930671,1.74946357039393,-0.102025152245571,"Satisfactory",-0.0908762050659699,"Satisfactory",-0.0071993529674928,"Satisfactory",-0.0035996764837464,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_2",94.6209965524694,1.14427746490361,0.102025152245686,"Satisfactory",0.0908762050660723,"Satisfactory",0.0109974184467343,"Satisfactory",0.00549870922336713,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_3",94.0936289645782,1.24402384672872,-4.16711642312097,"Unsatisfactory",-3.71174870378842,"Unsatisfactory",-0.413259584842227,"Satisfactory",-0.206629792421113,"Satisfactory","Z Unsatisfactory & En ≤ 1","unsat_en_good","Z Unsatisfactory & En ≤ 1","unsat_en_good"
"Consenso MADe (2a)","part_4",94.6872705069239,1.10992310360253,0.638525500052769,"Satisfactory",0.568749695594457,"Satisfactory",0.0709510618085618,"Satisfactory",0.0354755309042809,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_5",94.3522630408546,1.27041907427991,-2.0734240666126,"Questionable",-1.84684763040268,"Satisfactory",-0.201363155017091,"Satisfactory",-0.100681577508546,"Satisfactory","Z Questionable & En ≤ 1","ques_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_6",94.6961111461414,1.41897313666034,0.710092166838667,"Satisfactory",0.632495810582544,"Satisfactory",0.061756870321067,"Satisfactory",0.0308784351605335,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_1",94.5957901930671,1.74946357039393,-0.0660104132069729,"Satisfactory",-0.0587970291154034,"Satisfactory",-0.00719287893104968,"Satisfactory",-0.00359643946552484,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_2",94.6209965524694,1.14427746490361,0.0660104132070473,"Satisfactory",0.0587970291154697,"Satisfactory",0.0109743835142109,"Satisfactory",0.00548719175710547,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_3",94.0936289645782,1.24402384672872,-2.69613003183458,"Questionable",-2.40150649388672,"Questionable",-0.412526530533372,"Satisfactory",-0.206263265266686,"Satisfactory","Z Questionable & En ≤ 1","ques_en_good","Z Questionable & En ≤ 1","ques_en_good"
"Consenso nIQR (2b)","part_4",94.6872705069239,1.10992310360253,0.413126872873666,"Satisfactory",0.367981831844413,"Satisfactory",0.0707931684095659,"Satisfactory",0.0353965842047829,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_5",94.3522630408546,1.27041907427991,-1.34150821025922,"Satisfactory",-1.19491294577796,"Satisfactory",-0.201020584690081,"Satisfactory",-0.10051029234504,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_6",94.6961111461414,1.41897313666034,0.459430604281114,"Satisfactory",0.409225655529915,"Satisfactory",0.0616725695010206,"Satisfactory",0.0308362847505103,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_1",94.5957901930671,1.74946357039393,0.187572103547051,"Satisfactory",0.167074888607551,"Satisfactory",0.0175420272906112,"Satisfactory",0.00877101364530562,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_2",94.6209965524694,1.14427746490361,0.34145789848735,"Satisfactory",0.304144589068023,"Satisfactory",0.048748556135284,"Satisfactory",0.024374278067642,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_3",94.0936289645782,1.24402384672872,-2.87814153644577,"Questionable",-2.56362842610986,"Questionable",-0.378108876219202,"Satisfactory",-0.189054438109601,"Satisfactory","Z Questionable & En ≤ 1","ques_en_good","Z Questionable & En ≤ 1","ques_en_good"
"Algoritmo A (3)","part_4",94.6872705069239,1.10992310360253,0.746062942885006,"Satisfactory",0.664535827660892,"Satisfactory",0.109790831658176,"Satisfactory",0.0548954158290878,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_5",94.3522630408546,1.27041907427991,-1.2991705398329,"Satisfactory",-1.15720178598064,"Satisfactory",-0.167144744710833,"Satisfactory",-0.0835723723554164,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_6",94.6961111461414,1.41897313666034,0.800035385793305,"Satisfactory",0.712610353223376,"Satisfactory",0.0921922456104282,"Satisfactory",0.0460961228052141,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
