"Combinación","Participant","Result","u(xi)","z-score","z-score Eval","z'-score","z'-score Eval","zeta-score","zeta-score Eval","En-score","En-score Eval","Classification z+En","Classification z+En Code","Classification z'+En","Classification z'+En Code"
"Referencia (1)","part_1",180.414974531835,0.0453716248086292,0.530179138496882,"Satisfactory",0.493056583691959,"Satisfactory",0.286921575713311,"Satisfactory",0.143460787856656,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_2",180.403607303371,0.0490359258049648,0.0779504289571902,"Satisfactory",0.0724924264427295,"Satisfactory",0.0391618675661858,"Satisfactory",0.0195809337830929,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_3",180.411635393258,0.059348736712172,0.397336349743005,"Satisfactory",0.369515299557701,"Satisfactory",0.165974295796209,"Satisfactory",0.0829871478981045,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_4",180.411305243446,0.0472077513247139,0.384201817943778,"Satisfactory",0.357300433096375,"Satisfactory",0.200184427678438,"Satisfactory",0.100092213839219,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_5",180.416488951311,0.0502677628655201,0.590428122421628,"Satisfactory",0.549087000635687,"Satisfactory",0.289635447995229,"Satisfactory",0.144817723997615,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_6",180.408448876404,0.0459729408389024,0.270565395037635,"Satisfactory",0.25162070639131,"Satisfactory",0.144594998043063,"Satisfactory",0.0722974990215317,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_1",180.414974531835,0.0453716248086292,0.724194567447895,"Satisfactory",0.645057150815607,"Satisfactory",0.0771194646283875,"Satisfactory",0.0385597323141937,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_2",180.403607303371,0.0490359258049648,-1.62500166166654,"Satisfactory",-1.44742723718465,"Satisfactory",-0.160149204011613,"Satisfactory",-0.0800746020058063,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_3",180.411635393258,0.059348736712172,0.0341150306504577,"Satisfactory",0.0303870609647381,"Satisfactory",0.00277903493842941,"Satisfactory",0.0013895174692147,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_4",180.411305243446,0.0472077513247139,-0.0341150306504577,"Satisfactory",-0.0303870609647381,"Satisfactory",-0.00349200170118706,"Satisfactory",-0.00174600085059353,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_5",180.416488951311,0.0502677628655201,1.03717046406458,"Satisfactory",0.923832150270491,"Satisfactory",0.0997177631871093,"Satisfactory",0.0498588815935546,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_6",180.408448876404,0.0459729408389024,-0.624423099443541,"Satisfactory",-0.556188355361395,"Satisfactory",-0.0656275839816187,"Satisfactory",-0.0328137919908093,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_1",180.414974531835,0.0453716248086292,0.949835064478923,"Satisfactory",0.846040453737062,"Satisfactory",0.0771671853525207,"Satisfactory",0.0385835926762604,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_2",180.403607303371,0.0490359258049648,-2.13131060003214,"Questionable",-1.89840852853229,"Satisfactory",-0.160234070144265,"Satisfactory",-0.0801170350721327,"Satisfactory","Z Questionable & En ≤ 1","ques_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_3",180.411635393258,0.059348736712172,0.0447444012895186,"Satisfactory",0.0398548916384182,"Satisfactory",0.00278004082452372,"Satisfactory",0.00139002041226186,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_4",180.411305243446,0.0472077513247139,-0.0447444012895186,"Satisfactory",-0.0398548916384182,"Satisfactory",-0.00349399800516506,"Satisfactory",-0.00174699900258253,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_5",180.416488951311,0.0502677628655201,1.3603262422723,"Satisfactory",1.21167460992174,"Satisfactory",0.0997680516436106,"Satisfactory",0.0498840258218053,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso nIQR (2b)","part_6",180.408448876404,0.0459729408389024,-0.818977359927183,"Satisfactory",-0.729482415532102,"Satisfactory",-0.0656671403499729,"Satisfactory",-0.0328335701749865,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_1",180.414974531835,0.0453716248086292,0.901378303022678,"Satisfactory",0.802878875498675,"Satisfactory",0.081659735812869,"Satisfactory",0.0408298679064345,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_2",180.403607303371,0.0490359258049648,-1.86113752640653,"Satisfactory",-1.65775901121515,"Satisfactory",-0.156032860938153,"Satisfactory",-0.0780164304690763,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_3",180.411635393258,0.059348736712172,0.089885580387613,"Satisfactory",0.0800632026122076,"Satisfactory",0.00622811610275166,"Satisfactory",0.00311405805137583,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_4",180.411305243446,0.0472077513247139,0.00965106355554852,"Satisfactory",0.00859642952227806,"Satisfactory",0.000840393081046568,"Satisfactory",0.000420196540523284,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_5",180.416488951311,0.0502677628655201,1.26941944744394,"Satisfactory",1.13070178756488,"Satisfactory",0.10382138469838,"Satisfactory",0.0519106923491901,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Algoritmo A (3)","part_6",180.408448876404,0.0459729408389024,-0.684516313384016,"Satisfactory",-0.60971479578251,"Satisfactory",-0.0612038555285867,"Satisfactory",-0.0306019277642934,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
