"Combinación","Participant","Result","u(xi)","z-score","z-score Eval","z'-score","z'-score Eval","zeta-score","zeta-score Eval","En-score","En-score Eval","Classification z+En","Classification z+En Code","Classification z'+En","Classification z'+En Code"
"Referencia (1)","part_1",100.048611111111,0.0485467351732076,-0.097400164831826,"Satisfactory",-0.0905803133996685,"Satisfactory",-0.105609036684293,"Satisfactory",-0.0528045183421467,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_2",100.060238095238,0.036012223975264,0.102168005060822,"Satisfactory",0.0950143147478967,"Satisfactory",0.139249216993816,"Satisfactory",0.0696246084969079,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_3",100.049087301587,0.0344743896665338,-0.0892267244354291,"Satisfactory",-0.0829791682277126,"Satisfactory",-0.125386981239094,"Satisfactory",-0.0626934906195469,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_4",100.053968253968,0.0353241369004829,-0.00544896027955014,"Satisfactory",-0.00506743012885252,"Satisfactory",-0.00752843234643319,"Satisfactory",-0.00376421617321659,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_5",100.058015873016,0.0379795143139708,0.0640252831671455,"Satisfactory",0.0595423039046805,"Satisfactory",0.0839818195079342,"Satisfactory",0.0419909097539671,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Referencia (1)","part_6",100.057738095238,0.0401918239820935,0.0592574429383938,"Satisfactory",0.0551083025566791,"Satisfactory",0.0745297699124541,"Satisfactory",0.0372648849562271,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_1",100.048611111111,0.0485467351732076,-1.4916528739988,"Satisfactory",-1.32865033260113,"Satisfactory",-0.148983254583356,"Satisfactory",-0.0744916272916778,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_2",100.060238095238,0.036012223975264,0.903165164817792,"Satisfactory",0.804470475367367,"Satisfactory",0.121474860973182,"Satisfactory",0.0607374304865909,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_3",100.049087301587,0.0344743896665338,-1.39357158923774,"Satisfactory",-1.24128702315342,"Satisfactory",-0.195753074488934,"Satisfactory",-0.0978765372444671,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
"Consenso MADe (2a)","part_4",100.053968253968,0.0353241369004829,-0.388238419323193,"Satisfactory",-0.345813100322369,"Satisfactory",-0.0532299291387989,"Satisfactory",-0.0266149645693995,"Satisfactory","Z Satisfactory & En ≤ 1","sat_en_good","Z Satisfactory & En ≤ 1","sat_en_good"
