"Parametro","Valor"
"Media general","27.27758"
"Diferencia absoluta respecto a la media general","1.34110"
"DE de medias","0.25416"
"Varianza de las medias (s_x_bar_sq)","0.06460"
"sw","27.34443"
"Varianza dentro de la muestra (s_w_sq)","747.71763"
"ss","19.33376"
"---",""
"Valor asignado (xpt)","40.16787"
"Mediana de diferencias absolutas","0.01941"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.02878"
"nIQR","0.01439"
"Incertidumbre del valor asignado (u_xpt)","0.02544"
"---",""
"Criterio c","0.01397"
"Criterio c (expandido)","27.48081"
