"Parametro","Valor"
"Media general","5.82014"
"Diferencia absoluta respecto a la media general","1.31395"
"DE de medias","0.12558"
"Varianza de las medias (s_x_bar_sq)","0.01577"
"sw","4.60655"
"Varianza dentro de la muestra (s_w_sq)","21.22027"
"ss","3.25490"
"---",""
"Valor asignado (xpt)","7.98345"
"Mediana de diferencias absolutas","0.12166"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.18042"
"nIQR","0.09019"
"Incertidumbre del valor asignado (u_xpt)","0.15947"
"---",""
"Criterio c","0.00742"
"Criterio c (expandido)","4.62953"
