"Parametro","Valor"
"Media general","68.31469"
"Diferencia absoluta respecto a la media general","1.07095"
"DE de medias","0.27589"
"Varianza de las medias (s_x_bar_sq)","0.07611"
"sw","71.23232"
"Varianza dentro de la muestra (s_w_sq)","5074.04358"
"ss","50.36810"
"---",""
"Valor asignado (xpt)","101.73335"
"Mediana de diferencias absolutas","0.47197"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.69994"
"nIQR","0.34987"
"Incertidumbre del valor asignado (u_xpt)","0.61866"
"---",""
"Criterio c","0.37894"
"Criterio c (expandido)","71.58948"
