"Parametro","Valor"
"Media general","62.98764"
"Diferencia absoluta respecto a la media general","2.21297"
"DE de medias","0.01606"
"Varianza de las medias (s_x_bar_sq)","0.00026"
"sw","65.47385"
"Varianza dentro de la muestra (s_w_sq)","4286.82536"
"ss","46.29700"
"---",""
"Valor asignado (xpt)","93.37265"
"Mediana de diferencias absolutas","0.13345"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.19790"
"nIQR","0.09892"
"Incertidumbre del valor asignado (u_xpt)","0.17492"
"---",""
"Criterio c","0.29960"
"Criterio c (expandido)","65.80169"
