"Parametro","Valor"
"Media general","60.80500"
"Diferencia absoluta respecto a la media general","1.32392"
"DE de medias","0.25076"
"Varianza de las medias (s_x_bar_sq)","0.06288"
"sw","62.91763"
"Varianza dentro de la muestra (s_w_sq)","3958.62760"
"ss","44.48877"
"---",""
"Valor asignado (xpt)","90.44730"
"Mediana de diferencias absolutas","0.00423"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.00627"
"nIQR","0.00313"
"Incertidumbre del valor asignado (u_xpt)","0.00554"
"---",""
"Criterio c","0.01068"
"Criterio c (expandido)","63.23143"
