"Parametro","Valor"
"Media general","0.47788"
"Diferencia absoluta respecto a la media general","1.33354"
"DE de medias","0.23716"
"Varianza de las medias (s_x_bar_sq)","0.05625"
"sw","1.14765"
"Varianza dentro de la muestra (s_w_sq)","1.31709"
"ss","0.77608"
"---",""
"Valor asignado (xpt)","-0.02159"
"Mediana de diferencias absolutas","0.01354"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.02008"
"nIQR","0.01004"
"Incertidumbre del valor asignado (u_xpt)","0.01775"
"---",""
"Criterio c","0.00639"
"Criterio c (expandido)","1.15340"
