"Pollutant","Level","Combination","Combination_Label","x_pt","u_xpt","expanded_uncertainty","sigma_pt"
"co","0-ppm","Referencia (1)","1",0.0241514973169465,0.00132173137622304,0.00264346275244608,0.00334374528301898
"co","0-ppm","Consenso MADe (2a)","2a",0.0261744157867405,0.00505343415824886,0.0101068683164977,0.00990266810916858
"co","0-ppm","Consenso nIQR (2b)","2b",0.0261744157867405,0.00824954851946591,0.0164990970389318,0.0161657475848191
"co","0-ppm","Algoritmo A (3)","3",0.0206952601323715,0.00725771029821616,0.0145154205964323,0.0142221495452579
"co","120-ppb","Referencia (1)","1",122.177987700535,0.01544671702012,0.0308934340402399,0.0390774465245344
"co","120-ppb","Consenso MADe (2a)","2a",122.170882798574,0.00380573772865969,0.00761147545731937,0.00745769242405988
"co","120-ppb","Consenso nIQR (2b)","2b",122.170882798574,0.00302445648335338,0.00604891296670677,0.00592670010677456
"co","120-ppb","Algoritmo A (3)","3",122.170154015565,0.00366496498797242,0.00732992997594483,0.00718183531655833
"co","180-ppb","Referencia (1)","1",182.448171836007,0.024382458646776,0.048764917293552,0.0616832834229433
"co","180-ppb","Consenso MADe (2a)","2a",182.433865418895,0.00981082129391051,0.019621642587821,0.0192252049021701
"co","180-ppb","Consenso nIQR (2b)","2b",182.433865418895,0.00797087441360243,0.0159417488272049,0.0156196600937056
"co","180-ppb","Algoritmo A (3)","3",182.433646930524,0.00716215381904454,0.0143243076380891,0.014034897852788
"co","2-ppm","Referencia (1)","1",1.96307205387206,0.00326854935487062,0.00653709870974123,0.00826884848485209
"co","2-ppm","Consenso MADe (2a)","2a",1.96344141414141,0.00132935179477738,0.00265870358955476,0.00260498686868608
"co","2-ppm","Consenso nIQR (2b)","2b",1.96344141414141,0.00439854856358943,0.00879709712717886,0.00861935967171679
"co","2-ppm","Algoritmo A (3)","3",1.96380739862979,0.00156643368623221,0.00313286737246442,0.00306957059774067
"co","4-ppm","Referencia (1)","1",3.93803716859717,0.00117241444250756,0.00234482888501512,0.00296600000000033
"co","4-ppm","Consenso MADe (2a)","2a",3.91716462033462,0.00610229765078202,0.012204595301564,0.0119580124024004
"co","4-ppm","Consenso nIQR (2b)","2b",3.91716462033462,0.00559490869078594,0.0111898173815719,0.0109637371599109
"co","4-ppm","Algoritmo A (3)","3",3.91514105678548,0.00541929877255454,0.0108385975451091,0.0106196134051599
"co","40-ppb","Referencia (1)","1",40.1652266294227,0.0184049418069632,0.0368098836139264,0.046561229050287
"co","40-ppb","Consenso MADe (2a)","2a",40.1722098696462,0.0027730655702451,0.00554613114049021,0.00543407653630445
"co","40-ppb","Consenso nIQR (2b)","2b",40.1722098696462,0.00256832465506358,0.00513664931012716,0.00503286791897231
"co","40-ppb","Algoritmo A (3)","3",40.1731238137584,0.00233631613516731,0.00467263227033462,0.00457822592719293
"co","6-ppm","Referencia (1)","1",5.93945785533911,0.00324912013825334,0.00649824027650667,0.00821969602272138
"co","6-ppm","Consenso MADe (2a)","2a",5.93410202020202,0.0156405130852674,0.0312810261705348,0.0306490210993828
"co","6-ppm","Consenso nIQR (2b)","2b",5.93410202020202,0.0125849853825832,0.0251699707651664,0.0246614340861711
"co","6-ppm","Algoritmo A (3)","3",5.93043657677647,0.0113320585469051,0.0226641170938101,0.0222062089402099
"co","8-ppm","Referencia (1)","1",7.99219113330391,0.00977656764177229,0.0195531352835446,0.0247329771573613
"co","8-ppm","Consenso MADe (2a)","2a",7.98799288604429,0.0122310917134731,0.0244621834269463,0.0239679469561542
"co","8-ppm","Consenso nIQR (2b)","2b",7.98799288604429,0.00972015498127339,0.0194403099625468,0.0190475359399136
"co","8-ppm","Algoritmo A (3)","3",7.99583596699915,0.0115384533846034,0.0230769067692069,0.0226106585705344
"co","80-ppb","Referencia (1)","1",81.611190729783,0.0256543704638483,0.0513087409276965,0.0649009940828087
"co","80-ppb","Consenso MADe (2a)","2a",81.5913669625247,0.00691462998036711,0.0138292599607342,0.0135498521696402
"co","80-ppb","Consenso nIQR (2b)","2b",81.5913669625247,0.00569148269243288,0.0113829653848658,0.0111529827810739
"co","80-ppb","Algoritmo A (3)","3",81.5934034516765,0.00524002139745307,0.0104800427949061,0.0102683029320205
"no2","0-ppb","Referencia (1)","1",-0.99455073375262,0.00934613399923546,0.0186922679984709,0.023644056603778
"no2","0-ppb","Consenso MADe (2a)","2a",-0.991655241090147,0.00126433158265294,0.00252866316530589,0.00247757379454817
"no2","0-ppb","Consenso nIQR (2b)","2b",-0.991655241090147,0.0022948788376451,0.00458975767529019,0.00449702573899348
"no2","0-ppb","Algoritmo A (3)","3",-0.991608848116694,0.00141594695581503,0.00283189391163005,0.00277467803567518
"no2","180-ppb","Referencia (1)","1",101.047095810313,0.499292689399954,0.998585378799907,1.26312169405989
"no2","180-ppb","Consenso MADe (2a)","2a",101.055063167587,0.262460178657115,0.524920357314229,0.514314812407714
"no2","180-ppb","Consenso nIQR (2b)","2b",101.055063167587,0.256484588287847,0.512969176575693,0.502605094554437
"no2","180-ppb","Algoritmo A (3)","3",101.094145303867,0.209192450534175,0.41838490106835,0.409931809480911
"o3","0","Referencia (1)","1",94.6345563454072,0.394753530716022,0.789507061432045,0.998656217164696
"o3","0","Consenso MADe (2a)","2a",94.6083933727682,0.0630387023953778,0.126077404790756,0.123530123932671
"o3","0","Consenso nIQR (2b)","2b",94.6083933727682,0.0974321004336972,0.194864200867394,0.190927144504129
"o3","0","Algoritmo A (3)","3",94.5650660456064,0.0835883937403113,0.167176787480623,0.163799130466091
"o3","0-ppb","Referencia (1)","1",-0.0702198830409357,0.00640199991632345,0.0128039998326469,0.0161959210526316
"o3","0-ppb","Consenso MADe (2a)","2a",-0.0776084795321637,0.000922753046615711,0.00184550609323142,0.00180821929824569
"o3","0-ppb","Consenso nIQR (2b)","2b",-0.0776084795321637,0.00199455575351702,0.00398911150703404,0.00390851508771929
"o3","0-ppb","Algoritmo A (3)","3",-0.0775828831024881,0.00105952819699582,0.00211905639399165,0.00207624276058466
"o3","135-ppb","Referencia (1)","1",135.995427398276,0.00429365302061869,0.00858730604123737,0.0108621784220936
"o3","135-ppb","Consenso MADe (2a)","2a",135.977731507988,0.00398749215122522,0.00797498430245045,0.00781385689908369
"o3","135-ppb","Consenso nIQR (2b)","2b",135.977731507988,0.00319439270488245,0.00638878540976491,0.00625970573202478
"o3","135-ppb","Algoritmo A (3)","3",135.979745048695,0.00410527596893079,0.00821055193786157,0.00804466510175219
"o3","180-ppb","Referencia (1)","1",180.401647940075,0.00993588307020043,0.0198717661404009,0.025136016853552
"o3","180-ppb","Consenso MADe (2a)","2a",180.411470318352,0.00246927626271285,0.00493855252542569,0.00483877350209048
"o3","180-ppb","Consenso nIQR (2b)","2b",180.411470318352,0.00188268102732731,0.00376536205465463,0.0036892862922966
"o3","180-ppb","Algoritmo A (3)","3",180.41126553115,0.00209983031525483,0.00419966063050966,0.0041148102550415
"o3","45-ppb","Referencia (1)","1",44.8140877589454,0.0143256459634374,0.0286512919268748,0.0362413361581275
"o3","45-ppb","Consenso MADe (2a)","2a",44.8156302259887,0.00181365999266574,0.00362731998533148,0.00355403323914475
