"","Item","sample_id","sample_1","sample_2","average","range"
"1",1,1,2.01153535353535,2.01946808510638,1.67700114621391,1.01946808510638
"2",2,2,2.01617021276596,2.00757575757576,2.00791532344724,0.0161702127659602
"3",3,3,2.02053191489362,2.01427272727273,2.34493488072212,0.98572727272727
"4",4,4,2.01063829787234,2.01957446808511,2.67673758865248,1.98936170212766
"5",5,5,2.01776595744681,2.01616161616162,3.01130919120281,2.98383838383838
"6",6,6,2.01147474747475,2.01797872340426,3.34315115695967,3.98852525252525
"7",7,7,2.00785858585859,2.01486868686869,3.67424242424243,4.99214141414141
"8",8,8,2.01449494949495,2.00776595744681,4.00742030231392,5.99223404255319
"9",9,9,2.00751515151515,2.01468085106383,4.34073200085966,6.99248484848485
"10",10,10,2.01702127659574,2.00950505050505,4.67550877570026,7.99049494949495
