"","Item","sample_id","sample_1","sample_2","average","range"
"1",1,1,25.6391208791209,25.8612087912088,17.5001098901099,24.8612087912088
"2",2,2,25.6478021978022,25.7647252747253,17.8041758241758,23.7647252747253
"3",3,3,25.667032967033,25.8154945054945,18.1608424908425,22.8154945054945
"4",4,4,25.8576923076923,25.7462637362637,18.534652014652,21.8576923076923
"5",5,5,25.8382417582418,25.7232967032967,18.8538461538462,20.8382417582418
"6",6,6,25.6412087912088,25.5297802197802,19.0569963369963,19.6412087912088
"7",7,7,25.7808791208791,25.7274725274725,19.5027838827839,18.7808791208791
"8",8,8,25.6310989010989,25.6443956043956,19.7584981684982,17.6443956043956
"9",9,9,25.6893406593407,25.8407692307692,20.1767032967033,16.8407692307692
"10",10,10,25.8008791208791,25.6235164835165,20.4747985347985,15.8008791208791
