"","Item","sample_id","sample_1","sample_2","average","range"
"1",1,1,6.45161290322581e-05,6.45161290322581e-05,0.333376344086022,0.999935483870968
"2",2,2,3.2258064516129e-05,6.45161290322581e-05,0.666698924731183,1.99996774193548
"3",3,3,3.2258064516129e-05,6.45161290322581e-05,1.00003225806452,2.99996774193548
"4",4,4,3.2258064516129e-05,3.2258064516129e-05,1.33335483870968,3.99996774193548
"5",5,5,0,9.67741935483871e-05,1.66669892473118,5
"6",6,6,3.2258064516129e-05,0,2.00001075268817,6
"7",7,7,0,6.45161290322581e-05,2.33335483870968,7
"8",8,8,3.2258064516129e-05,0,2.66667741935484,8
"9",9,9,6.45161290322581e-05,3.2258064516129e-05,3.00003225806452,8.99996774193548
"10",10,10,6.45161290322581e-05,3.2258064516129e-05,3.33336559139785,9.99996774193548
