"","pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value","n_lab"
"1","no","81-ppb","part_1",2,"1-10",80.6643461538462,0.0400853994677909,7
"2","no","81-ppb","part_1",2,"11-20",80.6798846153846,0.0499096982060321,7
"3","no","81-ppb","part_1",2,"21-30",80.7017307692308,0.0445413658028949,7
"4","no","81-ppb","part_2",3,"1-10",80.6640192307692,0.0220649648217322,7
"5","no","81-ppb","part_2",3,"11-20",80.6809230769231,0.0376930490071919,7
"6","no","81-ppb","part_2",3,"21-30",80.6785192307692,0.0582793530177272,7
"7","no","81-ppb","part_3",4,"1-10",80.6872115384615,0.0533977244736174,7
"8","no","81-ppb","part_3",4,"11-20",80.6850192307692,0.04199030620575,7
"9","no","81-ppb","part_3",4,"21-30",80.6946153846154,0.0429461346333682,7
"10","no","81-ppb","part_4",5,"1-10",80.6873269230769,0.0377059815158929,7
"11","no","81-ppb","part_4",5,"11-20",80.6759615384615,0.0292535336458458,7
"12","no","81-ppb","part_4",5,"21-30",80.6931153846154,0.0356622100848973,7
"13","no","81-ppb","part_5",6,"1-10",80.6843653846154,0.0379058196982434,7
"14","no","81-ppb","part_5",6,"11-20",80.6700192307692,0.0343899891114299,7
"15","no","81-ppb","part_5",6,"21-30",80.6738846153846,0.0482216454244633,7
"16","no","81-ppb","part_6",7,"1-10",80.6629615384615,0.0474886401170851,7
"17","no","81-ppb","part_6",7,"11-20",80.6910576923077,0.0504827329695394,7
"18","no","81-ppb","part_6",7,"21-30",80.6856730769231,0.0415417506215907,7
"19","no","81-ppb","ref",1,"1-10",80.6624615384615,0.026375817725417,7
"20","no","81-ppb","ref",1,"11-20",80.6993846153846,0.0268692685737473,7
"21","no","81-ppb","ref",1,"21-30",80.6738269230769,0.0544821604023096,7
