"","pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value","n_lab"
"1","o3","120-ppb","part_1",2,"1-10",120.033280778816,0.822685239542865,7
"2","o3","120-ppb","part_1",2,"11-20",119.742313676013,0.837428746610878,7
"3","o3","120-ppb","part_1",2,"21-30",120.225002876428,0.799534663078021,7
"4","o3","120-ppb","part_2",3,"1-10",119.602595669782,0.765247788472647,7
"5","o3","120-ppb","part_2",3,"11-20",119.58070423676,0.806684526719434,7
"6","o3","120-ppb","part_2",3,"21-30",119.896510955348,0.833056435160975,7
"7","o3","120-ppb","part_3",4,"1-10",119.450015088266,0.689816665984878,7
"8","o3","120-ppb","part_3",4,"11-20",119.719171433022,0.807185970774062,7
"9","o3","120-ppb","part_3",4,"21-30",120.392809460021,0.665457903063453,7
"10","o3","120-ppb","part_4",5,"1-10",120.389370965732,0.625613497196965,7
"11","o3","120-ppb","part_4",5,"11-20",119.409607383178,0.668489949999043,7
"12","o3","120-ppb","part_4",5,"21-30",120.225363748702,0.780116624515942,7
"13","o3","120-ppb","part_5",6,"1-10",119.884514724818,0.822678088922825,7
"14","o3","120-ppb","part_5",6,"11-20",120.065312596054,0.825414694837472,7
"15","o3","120-ppb","part_5",6,"21-30",119.424618618899,0.672213639755582,7
"16","o3","120-ppb","part_6",7,"1-10",120.050024454829,0.838880425757784,7
"17","o3","120-ppb","part_6",7,"11-20",120.053695482866,0.81467042294325,7
"18","o3","120-ppb","part_6",7,"21-30",120.068608618899,0.819081942428821,7
"19","o3","120-ppb","ref",1,"1-10",119.900236531672,0.817745574857618,7
"20","o3","120-ppb","ref",1,"11-20",120.234886978193,0.731177706497635,7
"21","o3","120-ppb","ref",1,"21-30",120.030060020768,0.854234926992246,7
