"","pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value","n_lab"
"1","so2","20-ppb","part_1",2,"1-10",19.7262352941176,0.0299739730749721,7
"2","so2","20-ppb","part_1",2,"11-20",19.7384705882353,0.0380697269993081,7
"3","so2","20-ppb","part_1",2,"21-30",19.7275294117647,0.03254760214251,7
"4","so2","20-ppb","part_2",3,"1-10",19.7292941176471,0.0450842263586732,7
"5","so2","20-ppb","part_2",3,"11-20",19.7275294117647,0.0287170234460474,7
"6","so2","20-ppb","part_2",3,"21-30",19.7376470588235,0.0369460885123701,7
"7","so2","20-ppb","part_3",4,"1-10",19.7118823529412,0.0266750275243818,7
"8","so2","20-ppb","part_3",4,"11-20",19.7238823529412,0.0337074735277898,7
"9","so2","20-ppb","part_3",4,"21-30",19.7348235294118,0.0513447013281819,7
"10","so2","20-ppb","part_4",5,"1-10",19.7218823529412,0.036465106060666,7
"11","so2","20-ppb","part_4",5,"11-20",19.7210588235294,0.0474443359470427,7
"12","so2","20-ppb","part_4",5,"21-30",19.7205882352941,0.0418019717751374,7
"13","so2","20-ppb","part_5",6,"1-10",19.7249411764706,0.0417008625536233,7
"14","so2","20-ppb","part_5",6,"11-20",19.7529411764706,0.0367792128241284,7
"15","so2","20-ppb","part_5",6,"21-30",19.7334117647059,0.0467414131986257,7
"16","so2","20-ppb","part_6",7,"1-10",19.7305882352941,0.0376715606541777,7
"17","so2","20-ppb","part_6",7,"11-20",19.7504705882353,0.0356558801829253,7
"18","so2","20-ppb","part_6",7,"21-30",19.7072941176471,0.0335783383425052,7
"19","so2","20-ppb","ref",1,"1-10",19.7384705882353,0.0419664647062339,7
"20","so2","20-ppb","ref",1,"11-20",19.7330588235294,0.0279586116913034,7
"21","so2","20-ppb","ref",1,"21-30",19.7409411764706,0.0205484208863383,7
