"Score","Criteria","co","no","no2","o3","so2"
"z-score","Satisfactory",27,28,28,29,24
"z-score","Questionable",2,2,0,1,3
"z-score","Unsatisfactory",1,0,2,0,3
"z-score","N/A",0,0,0,0,0
"z'-score","Satisfactory",27,29,28,30,25
"z'-score","Questionable",2,1,0,0,2
"z'-score","Unsatisfactory",1,0,2,0,3
"z'-score","N/A",0,0,0,0,0
"zeta-score","Satisfactory",30,30,30,30,30
"zeta-score","Questionable",0,0,0,0,0
"zeta-score","Unsatisfactory",0,0,0,0,0
"zeta-score","N/A",0,0,0,0,0
"En-score","Satisfactory",30,30,30,30,30
"En-score","Questionable",0,0,0,0,0
"En-score","Unsatisfactory",0,0,0,0,0
"En-score","N/A",0,0,0,0,0
