"Combinación","Participant","Result","u(xi)","z-score","z-score Eval","z'-score","z'-score Eval","zeta-score","zeta-score Eval","En-score","En-score Eval","Classification z+En","Classification z+En Code","Classification z'+En","Classification z'+En Code"
"Referencia (1)","part_1",99.5540636704119,0.569249439600755,0.253417986408166,"Satisfactory",0.235673940281301,"Satisfactory",0.304022620180732,"Satisfactory",0.152011310090366,"Satisfactory","a1 - Fully Satisfactory","a1","a1 - Fully Satisfactory","a1"
"Referencia (1)","part_2",99.6550285357589,0.546867628615223,0.383579557180588,"Satisfactory",0.356721742341145,"Satisfactory",0.474573152737742,"Satisfactory",0.237286576368871,"Satisfactory","a1 - Fully Satisfactory","a1","a1 - Fully Satisfactory","a1"
"Referencia (1)","part_3",99.6193298555377,0.569032464908698,0.337557643754285,"Satisfactory",0.313922232210904,"Satisfactory",0.405083665572731,"Satisfactory",0.202541832786366,"Satisfactory","a1 - Fully Satisfactory","a1","a1 - Fully Satisfactory","a1"
"Referencia (1)","part_4",99.5877693062243,0.577679989969942,0.296870513048466,"Satisfactory",0.276083969236403,"Satisfactory",0.35210350911549,"Satisfactory",0.176051754557745,"Satisfactory","a1 - Fully Satisfactory","a1","a1 - Fully Satisfactory","a1"
"Referencia (1)","part_5",99.5439918851436,0.591714637135906,0.24043367363259,"Satisfactory",0.223598774674325,"Satisfactory",0.279848170514741,"Satisfactory",0.13992408525737,"Satisfactory","a1 - Fully Satisfactory","a1","a1 - Fully Satisfactory","a1"
"Referencia (1)","part_6",99.4234358837168,0.562825670044034,0.0850156630421748,"Satisfactory",0.079062960679144,"Satisfactory",0.10289113243308,"Satisfactory",0.0514455662165399,"Satisfactory","a1 - Fully Satisfactory","a1","a1 - Fully Satisfactory","a1"
"Consenso MADe (2a)","part_1",99.5540636704119,0.569249439600755,-0.301680651155187,"Satisfactory",-0.268714058400284,"Satisfactory",-0.0295682764733735,"Satisfactory",-0.0147841382366868,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_2",99.6550285357589,0.546867628615223,1.50568156513478,"Satisfactory",1.34114601807105,"Satisfactory",0.153598406918474,"Satisfactory",0.0767992034592371,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_3",99.6193298555377,0.569032464908698,0.866642969069443,"Satisfactory",0.771939295778458,"Satisfactory",0.0849735816355708,"Satisfactory",0.0424867908177854,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_4",99.5877693062243,0.577679989969942,0.301680651155187,"Satisfactory",0.268714058400284,"Satisfactory",0.0291378187848185,"Satisfactory",0.0145689093924093,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_5",99.5439918851436,0.591714637135906,-0.481974697821993,"Satisfactory",-0.429306210398543,"Satisfactory",-0.0454499659091732,"Satisfactory",-0.0227249829545866,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_6",99.4234358837168,0.562825670044034,-2.64003593206445,"Questionable",-2.3515421586076,"Questionable",-0.261700550124811,"Satisfactory",-0.130850275062405,"Satisfactory","a4 - Questionable but Acceptable","a4","a4 - Questionable but Acceptable","a4"
"Consenso nIQR (2b)","part_1",99.5540636704119,0.569249439600755,-0.350133675509675,"Satisfactory",-0.311872307914154,"Satisfactory",-0.0295778090192354,"Satisfactory",-0.0147889045096177,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso nIQR (2b)","part_2",99.6550285357589,0.546867628615223,1.74750955531653,"Satisfactory",1.55654790224125,"Satisfactory",0.153652052894501,"Satisfactory",0.0768260264472503,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso nIQR (2b)","part_3",99.6193298555377,0.569032464908698,1.00583476916062,"Satisfactory",0.895920709088587,"Satisfactory",0.0850009972057183,"Satisfactory",0.0425004986028591,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
