"Pollutant","PT Scheme (n)","Level","Combination","Combination Label","Criteria","Count","Percentage"
"co",7,"0-ppm","Algoritmo A (3)","3","En_score Satisfactory",6,100
"co",7,"0-ppm","Algoritmo A (3)","3","En_score Questionable",0,100
"co",7,"0-ppm","Algoritmo A (3)","3","En_score Unsatisfactory",0,100
"co",7,"0-ppm","Algoritmo A (3)","3","En_score N/A",0,100
"co",7,"0-ppm","Algoritmo A (3)","3","z_score Satisfactory",6,100
"co",7,"0-ppm","Algoritmo A (3)","3","z_score Questionable",0,100
"co",7,"0-ppm","Algoritmo A (3)","3","z_score Unsatisfactory",0,100
"co",7,"0-ppm","Algoritmo A (3)","3","z_score N/A",0,100
"co",7,"0-ppm","Algoritmo A (3)","3","zeta_score Satisfactory",6,100
"co",7,"0-ppm","Algoritmo A (3)","3","zeta_score Questionable",0,100
"co",7,"0-ppm","Algoritmo A (3)","3","zeta_score Unsatisfactory",0,100
"co",7,"0-ppm","Algoritmo A (3)","3","zeta_score N/A",0,100
"co",7,"0-ppm","Consenso MADe (2a)","2a","En_score Satisfactory",6,100
"co",7,"0-ppm","Consenso MADe (2a)","2a","En_score Questionable",0,100
"co",7,"0-ppm","Consenso MADe (2a)","2a","En_score Unsatisfactory",0,100
"co",7,"0-ppm","Consenso MADe (2a)","2a","En_score N/A",0,100
"co",7,"0-ppm","Consenso MADe (2a)","2a","z_score Satisfactory",6,100
"co",7,"0-ppm","Consenso MADe (2a)","2a","z_score Questionable",0,100
"co",7,"0-ppm","Consenso MADe (2a)","2a","z_score Unsatisfactory",0,100
"co",7,"0-ppm","Consenso MADe (2a)","2a","z_score N/A",0,100
"co",7,"0-ppm","Consenso MADe (2a)","2a","zeta_score Satisfactory",6,100
"co",7,"0-ppm","Consenso MADe (2a)","2a","zeta_score Questionable",0,100
"co",7,"0-ppm","Consenso MADe (2a)","2a","zeta_score Unsatisfactory",0,100
"co",7,"0-ppm","Consenso MADe (2a)","2a","zeta_score N/A",0,100
"co",7,"0-ppm","Consenso nIQR (2b)","2b","En_score Satisfactory",6,100
"co",7,"0-ppm","Consenso nIQR (2b)","2b","En_score Questionable",0,100
"co",7,"0-ppm","Consenso nIQR (2b)","2b","En_score Unsatisfactory",0,100
"co",7,"0-ppm","Consenso nIQR (2b)","2b","En_score N/A",0,100
"co",7,"0-ppm","Consenso nIQR (2b)","2b","z_score Satisfactory",6,100
"co",7,"0-ppm","Consenso nIQR (2b)","2b","z_score Questionable",0,100
"co",7,"0-ppm","Consenso nIQR (2b)","2b","z_score Unsatisfactory",0,100
"co",7,"0-ppm","Consenso nIQR (2b)","2b","z_score N/A",0,100
"co",7,"0-ppm","Consenso nIQR (2b)","2b","zeta_score Satisfactory",6,100
"co",7,"0-ppm","Consenso nIQR (2b)","2b","zeta_score Questionable",0,100
"co",7,"0-ppm","Consenso nIQR (2b)","2b","zeta_score Unsatisfactory",0,100
"co",7,"0-ppm","Consenso nIQR (2b)","2b","zeta_score N/A",0,100
"co",7,"0-ppm","Referencia (1)","1","En_score Satisfactory",6,100
"co",7,"0-ppm","Referencia (1)","1","En_score Questionable",0,100
