"Combinación","Participant","Result","u(xi)","z-score","z-score Eval","z'-score","z'-score Eval","zeta-score","zeta-score Eval","En-score","En-score Eval","Classification z+En","Classification z+En Code","Classification z'+En","Classification z'+En Code"
"Referencia (1)","part_1",4.02503224386724,0.0119131387331145,0.292614587839966,"Satisfactory",0.272126039187136,"Satisfactory",0.257936313550579,"Satisfactory",0.12896815677529,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Referencia (1)","part_2",4.02232775613275,0.012380400059794,0.0512155545980014,"Satisfactory",0.0476294983117825,"Satisfactory",0.0436386428661668,"Satisfactory",0.0218193214330834,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Referencia (1)","part_3",4.02220354256854,0.012291707257102,0.0401284145328361,"Satisfactory",0.0373186674878028,"Satisfactory",0.0344102124732223,"Satisfactory",0.0172051062366111,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Referencia (1)","part_4",4.0238732034632,0.0125451090426453,0.189160159315429,"Satisfactory",0.175915374918586,"Satisfactory",0.159295238782966,"Satisfactory",0.0796476193914829,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Referencia (1)","part_5",4.02511015151515,0.0126263955941165,0.299568522460793,"Satisfactory",0.278593067024336,"Satisfactory",0.250826477258486,"Satisfactory",0.125413238629243,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Referencia (1)","part_6",4.02103786435786,0.0121651115160703,-0.0639184959191209,"Satisfactory",-0.059442993781234,"Satisfactory",-0.0553142065075219,"Satisfactory",-0.0276571032537609,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_1",4.02503224386724,0.0119131387331145,0.920991959550077,"Satisfactory",0.820349221128616,"Satisfactory",0.161503516023825,"Satisfactory",0.0807517580119127,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_2",4.02232775613275,0.012380400059794,-0.368405383426855,"Satisfactory",-0.328147348323704,"Satisfactory",-0.0621831118783429,"Satisfactory",-0.0310915559391715,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_3",4.02220354256854,0.012291707257102,-0.427625707341359,"Satisfactory",-0.380896285048386,"Satisfactory",-0.0726958179426175,"Satisfactory",-0.0363479089713087,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_4",4.0238732034632,0.0125451090426453,0.368405383426432,"Satisfactory",0.328147348323327,"Satisfactory",0.0613726281186501,"Satisfactory",0.030686314059325,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_5",4.02511015151515,0.0126263955941165,0.958135376004202,"Satisfactory",0.853433736625453,"Satisfactory",0.158595485105217,"Satisfactory",0.0792977425526084,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_6",4.02103786435786,0.0121651115160703,-0.983376938321808,"Satisfactory",-0.875916990439561,"Satisfactory",-0.168899190307674,"Satisfactory",-0.0844495951538372,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso nIQR (2b)","part_1",4.02503224386724,0.0119131387331145,1.039087163913,"Satisfactory",0.925539399950021,"Satisfactory",0.161642330447682,"Satisfactory",0.0808211652238409,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso nIQR (2b)","part_2",4.02232775613275,0.012380400059794,-0.415644567866043,"Satisfactory",-0.370224402047789,"Satisfactory",-0.0622326254868504,"Satisfactory",-0.0311163127434252,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso nIQR (2b)","part_3",4.02220354256854,0.012291707257102,-0.482458482780558,"Satisfactory",-0.429737129050804,"Satisfactory",-0.0727545354062535,"Satisfactory",-0.0363772677031268,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso nIQR (2b)","part_4",4.0238732034632,0.0125451090426453,0.415644567865566,"Satisfactory",0.370224402047363,"Satisfactory",0.0614202293239144,"Satisfactory",0.0307101146619572,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso nIQR (2b)","part_5",4.02511015151515,0.0126263955941165,1.08099333568915,"Satisfactory",0.962866213740923,"Satisfactory",0.158716924051319,"Satisfactory",0.0793584620256594,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso nIQR (2b)","part_6",4.02103786435786,0.0121651115160703,-1.10947152502551,"Satisfactory",-0.988232407439998,"Satisfactory",-0.169038448324984,"Satisfactory",-0.084519224162492,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Algoritmo A (3)","part_1",4.02503224386724,0.0119131387331145,1.16321410779213,"Satisfactory",1.03610219116273,"Satisfactory",0.148103769685414,"Satisfactory",0.0740518848427072,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Algoritmo A (3)","part_2",4.02232775613275,0.012380400059794,-0.616022501024615,"Satisfactory",-0.548705744575795,"Satisfactory",-0.0754853113416748,"Satisfactory",-0.0377426556708374,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Algoritmo A (3)","part_3",4.02220354256854,0.012291707257102,-0.697740498094008,"Satisfactory",-0.621493888438435,"Satisfactory",-0.0861132497199911,"Satisfactory",-0.0430566248599955,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Algoritmo A (3)","part_4",4.0238732034632,0.0125451090426453,0.400701084839916,"Satisfactory",0.356913889904533,"Satisfactory",0.0484583678275655,"Satisfactory",0.0242291839137827,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Algoritmo A (3)","part_5",4.02511015151515,0.0126263955941165,1.21446822793722,"Satisfactory",1.08175544264301,"Satisfactory",0.145928488658874,"Satisfactory",0.0729642443294368,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Algoritmo A (3)","part_6",4.02103786435786,0.0121651115160703,-1.4646204214483,"Satisfactory",-1.30457189069396,"Satisfactory",-0.182632989312898,"Satisfactory",-0.0913164946564489,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
