"Combinación","Participant","Result","u(xi)","z-score","z-score Eval","z'-score","z'-score Eval","zeta-score","zeta-score Eval","En-score","En-score Eval","Classification z+En","Classification z+En Code","Classification z'+En","Classification z'+En Code"
"Referencia (1)","part_1",120.000199110419,0.819882883077255,-0.0442674543527938,"Satisfactory",-0.0411678963336966,"Satisfactory",-0.057441707422707,"Satisfactory",-0.0287208537113535,"Satisfactory","a1 - Fully Satisfactory","a1","a1 - Fully Satisfactory","a1"
"Referencia (1)","part_2",119.693270287297,0.801662916784352,-0.291924142191208,"Satisfactory",-0.271483937776343,"Satisfactory",-0.38508999270431,"Satisfactory",-0.192544996352155,"Satisfactory","a1 - Fully Satisfactory","a1","a1 - Fully Satisfactory","a1"
"Referencia (1)","part_3",119.853998660436,0.720820179940798,-0.162234606589789,"Satisfactory",-0.150875119508764,"Satisfactory",-0.230699356926728,"Satisfactory",-0.115349678463364,"Satisfactory","a1 - Fully Satisfactory","a1","a1 - Fully Satisfactory","a1"
"Referencia (1)","part_4",120.008114032537,0.69140669057065,-0.0378810114753072,"Satisfactory",-0.0352286250978558,"Satisfactory",-0.0554034184553465,"Satisfactory",-0.0277017092276733,"Satisfactory","a1 - Fully Satisfactory","a1","a1 - Fully Satisfactory","a1"
"Referencia (1)","part_5",119.791481979924,0.773435474505293,-0.212678464787643,"Satisfactory",-0.197786954745792,"Satisfactory",-0.287898207412798,"Satisfactory",-0.143949103706399,"Satisfactory","a1 - Fully Satisfactory","a1","a1 - Fully Satisfactory","a1"
"Referencia (1)","part_6",120.057442852198,0.824210930376618,0.00192174138401425,"Satisfactory",0.00178718318534348,"Satisfactory",0.0024839933288472,"Satisfactory",0.0012419966644236,"Satisfactory","a1 - Fully Satisfactory","a1","a1 - Fully Satisfactory","a1"
"Consenso MADe (2a)","part_1",120.000199110419,0.819882883077255,0.466430110664746,"Satisfactory",0.415460280654006,"Satisfactory",0.0887381578350962,"Satisfactory",0.0443690789175481,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_2",119.693270287297,0.801662916784352,-1.49198855291828,"Satisfactory",-1.32894932971754,"Satisfactory",-0.290238667853902,"Satisfactory",-0.145119333926951,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_3",119.853998660436,0.720820179940798,-0.466430110664746,"Satisfactory",-0.415460280654006,"Satisfactory",-0.100794047507289,"Satisfactory",-0.0503970237536446,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_4",120.008114032537,0.69140669057065,0.516932800635861,"Satisfactory",0.460444215587535,"Satisfactory",0.116398241229202,"Satisfactory",0.0581991206146011,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_5",119.791481979924,0.773435474505293,-0.865329870732076,"Satisfactory",-0.770769688175314,"Satisfactory",-0.174413537915273,"Satisfactory",-0.0872067689576367,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
"Consenso MADe (2a)","part_6",120.057442852198,0.824210930376618,0.831684866255575,"Satisfactory",0.740801290589466,"Satisfactory",0.157404635951831,"Satisfactory",0.0787023179759153,"Satisfactory","a2 - Satisfactory but Conservative","a2","a2 - Satisfactory but Conservative","a2"
